	A 3 star hotel...	My husband and I stayed there for 3 nights. Location is good. The lobby is probably 20 sqm. Staff are polite but not welcoming.The rooms: really really small. Bathroom: really really small. Bed: really really small and too soft so if there's 2 of you prepare to cudle all night long because you'll sink to the midle. No views.So, try another hotel. With the amount of money Shoreham costs you'll find other hotels, also well located (if not better) where you have a bed where you can actually sleep.It takes more than white walls and funny lamps to be a modern luxury hotel. Would not recommend it.	
Jun 19 2004	Wine and Cheese	I chose the Shoreham Hotel b/c I wanted to stay in the city for my birthday for two nights 6/16-6/18. When I went to all the sites to get the cheapest rate all the hotels either were booked or their rates were tripled the usual amount. I finally settled with the Shoreham hotel on cheaptickets. I got a deal for $220.99/night for two nights, which included the tax. After I booked the room, I was nervous after reading the many reviews on trip advisor. I thought I was going to see roaches, have excess charges on my card for the incidentals, and work with an incompetent staff. None of this occurred. I will tell you what did: I got to the hotel and the fire alarm was ringing. Since I arrived late around 10 pm, they did not have a room. I was worried!! I asked myself why did I choose this hotel again? Well, the woman working there was very friendly. Her and her manger felt bad that this had happened. Since it was my birthday, they felt worse. They sent me over to the Mansfield Hotel where they upgraded me to an amazing suite, valet and the room was on them. When I arrived at the Mansfield they sent up a free bottle of red with some fruit and cheese. When I went back to the Shoreham the next day they checked me in before 3 pm, upgraded me to amazing suite, and also had red wine and chocolates sent up to my room. I guess if you are one that has no patience and wants things to run smoothly all of the time, it may be a gamble for you. However, if you go with the flow then everything should turn out just fine. I had an amazing two nights in the city.	
Jun 1 2004	Beware - More Trouble than its worth	It took a lot of waiting and a major hassle with the front desk in order to get the room we had reserved. After the manager finally got housekeeping (shortstaffed) to clean the room late in the afternoon, we finally settled in. Everything seemed fine at that point. After we checked out, our credit card was billed for charges we didn't authorize. I'm still disputing them with my credit card company. This is the most inconvenient hotel I have ever dealt with. Next time, I'll go back to the Crowne Plaza, where service is always impeccable.	
May 12 2004	Loved it!	Great hotel. Very attentive staff (sent up extra towels right away, even after midnight). The beverage at check-in was a nice touch. The room was very clean, and the decor was attractive. I'll definitely stay there again. Tip: Try booking the room directly through the hotel's website. For only $10 more than the travel sites wanted I upgraded to a suite.	
Apr 2 2004	nice hotel	I was worried after reading some negative reviews on this property but we were pleased with our stay. First the negatives: the water in the rooms cost $5.00 a bottle, the there is no on-site workout facilities, they no longer offer free breakfast and the rooms are small. Some travel web sites say the water and breakfast is free. As far as room size- all the rooms I've had in NY have been small, Shoreham's were about average. Plus we were on the 2nd floor and had no street noise. The location was great- nice quiet street close to the F line. (it was a 12 block walk to Times Square) It would have been nice to be closer to the other subway lines but it was close to 5th Ave shopping, central park MOMA and St Peter. The staff was great- very helpful, one example was when I called to get information on the UN building, even though the Concierge was closed, the front desk person looked up the info on the spot, plus had a schedule printed and delivered to our room.	
Mar 15 2004	Great Business Hotel - but a bit small for extended stays	Just got back from two nights at the Shoreham using Priceline - so for the price, the hotel was great. Check-in was easy and offered comp champagne or water. Room was small - but high-design. Exactly as shown on the website. The best feature of the hotel is the business club type lounge with 24 hour coffee/expresso/tea and comp daily papers plus a conference/work area. Staff was always helpful and friendly. This would be a great choice for a business trip when traveling alone - the beds/linens were very comfortable. However, if you're traveling with two people - the rooms do get very small very fast. I solved this by hanging out downstairs in the lounge to do some computer work... but if you want lots of space to spread-out in your room (or have lots of luggage) this isn't the place for you.... I wouldn't hesitate to return at a discount price - but unless hotel rooms were hard to find - at rack rate you can probably find roomier accommodations if this is important to you... but for business, the 24 hour room service, nice bar and hotel-wide wifi access make it a great choice just off 5th Avenue...	
Dec 17 2003	Never Reserve a Room	I went to New York the weekend before Thanksgiving. I had made a reservation weeks before at the Shoreham. However, I had to cancel a week before my reservations because a got a great price through priceline. When I received my credit card statement I noticed that the Shoreham had charged me despite the fact that I had called twice to cancel my reservation. When I called them to to confirm my cancelation they stated that they had no cancelation. I'm contesting the charge with them and through my credit card company. I had a bad feeling about this hotel from the begining. I'm sorry I even heard of this hotel. Don't make a reservation!!!!!	
Nov 17 2003	A happy repeat customer	I've stayed at The Shoreham about eight or nine times, both before the 1999 expansion and after. I love the place... a visit to New York wouldn't be the same without a stay at The Shoreham.	
Sep 2 2003	Love the Rooms Service 	As soon as I walked in, the bellman insisted he take our bags. The hotel has a speedy check in process &amp; the staff was delighted to see us. Made me feel wanted at the Shoreham. The rooms are just like the website beautiful. The small bar in the lobby was perfect for me &amp; my guest to wine &amp; dine. I truly recommend this hotel as for myself, I stayed here for 4 weekends in a row. The Shoreham must be doing something good.	
Jul 24 2003	Nightmare		
Jul 20 2003	it stinks!!!!!		
Jul 1 2003	She's aging badly!		
Jun 6 2003	Decent		
May 22 2003	Shoreham was a great deal!!		
May 1 2003	I Dig The Shoreham!		
Mar 25 2003	Excellent in Every Way		
Jan 16 2003	OK		
Jan 10 2003	Shoreham Hotel New York definitely will return!		
Dec 31 2002	Shoreham Hotel - Scrooge Lives Here!		
Nov 7 2009 	Hotel céntrico y cómodo		
Sep 17 2009 	Situación y servicio muy bueno		
Sep 15 2009 	hotel perfecto		
Aug 27 2009 	Un 10!!!		
Aug 27 2009 	Mejor imposible		
Aug 27 2009 	Sofisticação Luxo e Conforto.		
Aug 21 2009 	Buen Hotel En Nueva York		
Aug 15 2009 	rien à dire super hôtel!		
Jul 8 2009 	Un hotel céntrico y encantador		
Jun 29 2009 	Estupendo		
Jun 15 2009 	Séjour agréable		
Jun 8 2009 	Peor que una pension y el trato pesimo		
Jun 5 2009 	???????????????		
Jun 4 2009 	Hotel en pleno Midtown cama y ubicacion excelentes		
May 22 2009 	Excelente ubicación estupenda relación calidad-precio		
May 17 2009 	nos gusto mucho		
Mar 3 2009 	un hotel diferente al resto que visite		
Dec 26 2008 	Céntrico limpio moderno super recomendable.		
Dec 3 2008 	Comodidad absoluta		
Oct 15 2008 	Muy buena experiencia en el Shoreham		
Sep 18 2008 	Design		
Aug 21 2008 	Tan malo que estoy escribiendo mi primer critica		
Oct 5 2007 	Excelente situación y confortable		
Jul 29 2007 	tolles hotel		
