	Good hotel but a bit far out for sightseeing with a toddler	My husband and 2 year old son stayed here for three nights over the Thanksgiving weekend. We got an excellent rate through priceline and the front desk staff upgraded us to a superior room on the 33rd floor. We had a big room with fantastic view of the hudson and jersey city. There was a small fridge in the room to put milk and yogurt for my son. The hotel is a standard marriot and the rooms are rather large for a Manhattan hotel.The 85 west restaurant has a decent menu but a bit pricy ($20 for a burger). We had breakfast from starbucks one day and the other mornings went to a diner a block away (Georges) which is excellent. I can't compalin about the hotel except I would not stay downtown again for sightseeing or shopping. Also not that many restaurants around.The hotel is one block from ground zero and in general there is a lot of construction in the area with sidewalks blocked off and traffic diverted. The subway stations are very close for getting into town. It is a 20 minute ride to midtown and 25-30 to uptown/central park. All in all, a great hotel but not the most convenient location for midtown sights, especially with a child and a stroller. We also prefer to come back to the hotel for naps and that was inconvenient from midtown as taxi ride is about $30. On the plus side, the ferry for liberty and ellis islands is 10 minutes walk from the hotel.	
Dec 28 2004	Great Weekend Specials	We stayed here the weekend before Christmas and received a wonderful package that included parking and breakfast. Our room was very comfortable. Our breakfast far exceeded our expectations and the parking was very easy. It is simple to get to the hotel by car which is saying a lot for vacationers not used to driving in NYC. We highly recommend staying here.	
Dec 2 2004	Handy for Manhatten	Stayed November 7,8,9, 2004. I've stayed here before in 2002 so I knew how to find it again and what to expect. Rooms are pretty plush and staff swift and attentive. It's certainly handy for the waterfront and Battery Park for statue of liberty. On a good day the view from the Concierge lounge is excellent. Parking is arranged just round the corner and getting forgotten items out of the car is no problem. The cocktail lounge provides excellent meals if you get stuck in a big queue for Roys rest at the rear of the hotel. Roys is first class cuisine and service, no need to step outside the hotel for anything, but Century 21 is about 5 minutes walk away.Subway at Rector Street about 3 minutes walk away, taxi rank ouside the hotel never seemed to be empty. Pricey I think by UK standards but service standards are soooo much better in NY Arrive Saturday of Sunday you may be able to negociate a weekend rate if your stay extends into the next week. Hard by the WTC site so overview of ground zero from upper floors with the repairs still taking place on adjacent buildings. Good view of the city by night from upper floors as well. Swimming pool on floor 5 a must! One annoying problem, if you book by Internet as a couple with different names, they divide the bill between the two of you with one bill each! Just how daft is that?	
Nov 23 2004	Comfortable hotel not-so-great staff	We stayed here 11/18-21 and are Marriott Platinum members. Our room wasn't correct when we arrived 10pm (two doubles rather than the king as guaranteed in writing) and then were switched to a lower floor and a room by the elevators. Not sure if this room was smoking (as requested) but my partner smoked anyway since the front desk assured him it was a smoking room despite the lack of ashtrays. The front desk was pretty unfriendly throughout the entire process.The location is near the subway lines but kinda inconvenient for tourists. For business people in the Wall Street area, however, it's a great location!The room was nice and clean. We didn't get shampoo one day so I had to use the Hyatt shampoo from my dop kit but no big deal.Overall, it's a 3-star Marriott. I wouldn't pay more than 3 star prices for it!	
Sep 30 2004	Just Great!	I have stayed at this hotel twice and it was just great! Staff is friendly and helpfull, Subway is just one block away. Wall Street, Chinatown, Battery Park and a nice boardwalk are near the hotel. The rooms are very clean... Need I say more? This is definitely my first choice when I go to New York!	
Sep 22 2004	Great Hotel for Location	We usually stay in midtown when traveling to NYC. Last time we stayed at the Marquis (highly recommend) However, knowing that Marriott is known for comfort, we decided to give it a shot. Although, this hotel is not on top of the midtown hotspots, it is very very nice. The rooms are big for NYC. Nicely appointed. What a great bed. Bring your significant other for a great weekend in lower manhattan. Great views of the river and Status of Liberty. Subway is nearby for a fast ride uptown.	
Sep 21 2004	NICE VIEWGREAT BED	Good location.The staff is very friendly and helpful.The rooms have a lot of space and the most comfortable bed that i've been in any hotel.PS: ask them to upgrade your room to a very high floor so u can enjoy the outstanding view of the statue liberty,hudson river and the new york skyline.	
Sep 17 2004	Excellent hotel and a lovely base for your stay.....		
Sep 14 2004	Good Prices Good Hotel		
Jul 31 2004	Loved it! Stayed July 23-26		
Jul 19 2004	Good Deal..get the parking and breakfast package		
Jun 14 2004	Need some peace in NYC? Stay here.		
Oct 26 2003	Definately stay here!		
Jul 25 2003	Really terrific for the price!		
Jul 24 2003	A great hotel in a great city		
Jul 15 2003	A good deal for a weekend		
Apr 30 2003	If you have to be way downtown it's ok		
Oct 4 2009 	ottima posizione		
Sep 8 2009 	???????????		
Apr 5 2009	Tolles Hotel! Immer wieder!		
Jan 7 2009 	Buona posizone		
Aug 18 2008 	Excelente hotel!!		
Sep 6 2007	Gutes Preis Leistungsverhältnis		
