	Small modern quiet rooms but awesome location	My hubby and I took advantage of his miles for a night away from the kids. The location is amazing right in the middle of 5th ave shopping, tons of restaurants, and walking distance to many areas if u enjoy walking that is, hello this is NYC.The rooms r small no doubt about it but they r very modern, clean, and quiet. U can hear people in the hallways.I have seen rooms in fancy NYC hotels that r rundown and noisy so this is bliss. The staff r very nice. There is parking at a indoor lot (right side) on 46th between 5th and 6th ave which u can get a discount from staying at the hotel.	
Apr 2 2006	Loved the location	My husband and I and our two young sons stayed here in December and loved it. Very safe and excellent location. Literally situated between Fifth Avenue and Times Square and just down from Rockefeller Center. Was able to walk to everything we did. Even walked from Museum of Natural History, through Central Park, and back down Fifth Avenue to hotel. Would definitely stay here again and would highly recommend it to anyone, especially if travelling with children. Only negative was the small rooms and slow elevators but these were very minor cons compared to the great advantages of staying here.	
Mar 27 2006	Small elegant rooms with little closet space but an awesome deal	I paid $190 a night and for that price this hotel is a complete steal. The inside is totally renovated and new and modern and as others have mentioned the beds are very comfortable and the TV and cable is great. I found the staff to be incredibly friendly and responsive. Without being asked, they provided me with large subway and bus maps. You can tell the hotel is making a point of giving good service perhaps to help keep word of mouth to drive business. Internet access is free which is great. There's ice machines on every floor, and my room (king bed, 16th floor, facing street, away from elevator) was very very quiet.The only thing I would say is that the rooms are small, perhaps the main room is the size of a king bed plus 4 feet on each side. This should be just fine for a single traveller (expecially since the beds are so comfortable) but it might be a bit crowded for couples and probably intolerable for more.The other thing you should know is that closet space is EXTREMELY limited. You have about one foot worth of hanger space. Anything more than that and you will need to fold the clothes and put in drawers.Other than that, this is a really nice hotel for the price when sub $200, a price that in NYC usually means a run down fleabag hotel.As others have said this is a great, safe location near 45th and 5th.	
Mar 21 2006	St Patricks Day in NYC	Holiday Inn Express is thee hotel to stay in in New York city if you are on a mid-low budget the hotel is clean &amp; modern. The staff are helpful and friendly. The hotel is in a great location from Times Square &amp; 5th Ave. which makes it ideal for St. Patricks Day celebrations!!!	
Mar 15 2006 	Decent hotel great price!	I stayed here on business and for a few extra nights vacation for 5 nights in February. Everybody has mentioned all the positives including nice rooms (although) small great tv channel selection, and good breakfast. I would definately stay here again as the location and price can't be beat. Did have one small problem, which over a month later has only just been resolved. I had a bathrobe go missing from my room (probably taken away with the sheets) and did get a bit of a run-around from the staff and management for compensation. After many many phone calls reminding them, I got $100 refunded on my credit card. They did want to give me a $100 credit for my next stay, but I said that wasn't satisfactory. Anyway, it was resolved so my faith has been restored in this great little hotel!	
Mar 14 2006	Super midtown hotel!	My husband and I just spent the weekend at this Holiday Inn Express and I must say it was a very pleasant experience. Check in was efficient and friendly although very small reception area. The rooms are tiny, like a cruise ship cabin without the motion sickness. Everything was fantastic though with very comfortable beds, cable channels just like at home, nice marble bath (mine did have a tub and shower combo) and great soundproofed windows that open for fresh air. Rooms are fine for a weekend but don't know where you would put a couple of big suitcases with lots of clothes if staying longer. Breakfast was good but the breakfast room was very crowded. All in all I would stay here again if the price was right.	
Mar 2 2006	Will be back	Great location - just off Fifth Avenue &amp; less than a 20 minute walk from loads of tourist sites (Empire State Building, Central Park, Times Square, St Patricks Cathedral, Rockerfeller Center etc etc). Rooms are small but have everything you could want (comfy beds, coffee making equipment, iron, alarm clock....). For breakfast be sure not to leave it till the last minute as it finishes at 10.00am sharp and by that stage on the Sunday we stayed there was only cereal left. Only complaint would be you could hear the lift motor from our room although it wasn't loud enough to keep us awake and we did have to wait up to five minutes at times for it to arrive.Would stay again - only exception would be if one of the expensive hotels was doing a special and came in at a cheaper rate :)	
Feb 24 2006	Good simple worth the price.	Stayed this weekend 2/17/06. Very friendly staff. Clean rooms. Small for two beds but its NYC so its expected. Great price but be wary of how you are charged. I got a receipt in the morning for additional charge on top of my prepaid room. Staff took care of it. Decent continental breakfast...beware of the milk if you are that adventerous. Location has a lot of selection for quick food. Would reccommend for a cheap no frills stay.	
Feb 23 2006	great location and price	Stayed at the Holiday Inn Express the weekend of February 4th with my friends. The AAA rate, with taxes, was $165. The location was perfect and the rooms spotless &amp; comfortable. I had read a couple of reviews beforehand saying the elevators were slow &amp; the lobby cramped. SO WHAT! We were on the 25th floor and never had to wait long for an elevator. As for the lobby, how much time are you going to be spending there? The breakfast was more than just cold bagels and coffee, you could fill up on boiled eggs, danish, yogurts, waffles, hot and cold cereals. Hot coffee and tea are available 24 hours a day, as well as free local papers. I can't say enough about the value and quality of this hotel. Will definitely be going back next year when we do the girls weekend in NYC&gt;	
Feb 15 2006	Irresponsible staff slow room preparation	Lost the paper which proved that I paid to my travel agency. Unwilling to refund my deposit although it was obviously THEIR problem. Irresponsible and bad attitude. Untrained staff. Janitors cleaned slow and occupied the elevators most of the time. Had to wait more than an hour to get my room although made a reservation.Not professional overall. I DO NOT RECOMMEND THIS HOTEL.	
Feb 12 2006	Great little hotel.	We had a wonderful stay over a Saturday Lincon Birthday weekend night. We had reserved a double/double but they only had kings so we were given 2 king rooms. Total price before tax was $152.10 (total, not per room). This was amazing for Manhattan Times Square Area. Nice, albeit a little slow, staff. Rooms are small but nicely appointed with lots of TV channels. Location is extremely convenient to Broadway (even in a blizzard :-) ). We missed the continental breakfast (slept in), but others seemed to have enjoyed it. Free computer in the basement for guest use. Free wireless internet in room (though not strong enough for a Dell Axim). While this is not a Luxury hotel, it is well above budget. Fine place to stay.	
Feb 10 2006	Loved this hotel!!		
Jan 29 2006	Great location good service		
Jan 21 2006	A Great Hotel		
Jan 20 2006 	Very nice hotel small rooms but great overall!		
Jan 17 2006	Believe the Reviews		
Jan 16 2006	Great Hotel		
Dec 17 2005	Great Value and Location!		
Dec 9 2005	Great Location		
Nov 14 2005 	Wrongly priced		
Nov 11 2005	A good place to stay in Midtown NYC		
Sep 3 2009 	----		
Jul 13 2009 	Ambientes pequeños pero excelente ubicacion!		
Jun 14 2009 	Delizioso hotel a due passi dalla fifth ave		
Mar 27 2009 	??????????		
Mar 12 2009	super Lage		
Jan 24 2009 	Ottima posizione		
Sep 27 2008 	Ottima soluzione!		
Sep 6 2007	Excellent Hôtel		
Aug 25 2007 	Ottima posizione		
