	A very good choice	The Stanford is well situated in Korea town, close to Macy's and good shopping. Although we were in NYC on business we also had some downtime so we were able to enjoy the delights that the city had to offer. The rooms are on the small side, and there is only one elevator but this did not present a huge problem for us. The bathroom was clean and the sheets and towels smelled freshly laundered. We were at the back of the hotel so we overlooked other windows but this did not present a problem either as it was quieter than being street side. If you craned your neck you could just about see the sky so you were able to see what the weather was doing and dress accordingly. Breakfast was bagels, doughnuts and other carby things - buns, rolls, toast etc, but this was ok too. The staff were very helpful and pleasant. As this is in mid-town we did struggle to find restaurants other than Korean ones which stayed open late.	
Jul 7 2004	Great Location	This hotel is right around the corner from the Empire State Building and just a couple blocks from Macy's. In five minutes, you can walk to Time's Square. In five minutes the other way you're at the Flatiron Building. If you want a very inexpensive place to stay while you see NYC, with breakfast included, then go here. If you want to spend most of your time time inside a NYC hotel, then go to the Ritz.	
Jun 26 2004	Great location great stay	Stayed at the Hotel Stanford for 5 nights over Memorial Day weekend - the hotel has a great location, so close to the Empire State Building and Macy's. If you walked from the hotel to the corner of 5th Avenue, you could look down and see the Flatiron building, and you could stroll to Times Square in less than 10 minutes. The room was comfortable, the bathroom was spacious and clean, and my partner and I made full use of the complimentary breakfast in the lounge. Bagels, toast, muffins and do-nuts, not to mention good coffee and fruit juice.The hotel is based at Herald Square, in an area known as 'Korea town' - the sushi and noodles we lived on during our stay were some of the best we have ever had (including in the Far East), and so much cheaper than anywhere else. A great place to stay and a great way to spend a vacation!!! 	
Jun 21 2004	Great hotel for a good price	I stayed at the Hotel Stanford for one night in June of 2004. It was a great experience, and I wouldn't mind staying there again. The staff was quite friendly and accommodating. We thought the best feature was the complimentary continental breakfast each morning. It was much better than other hotel's breakfasts, and it kept us full until lunchtime! 	
Jun 16 2004	An OK Hotel	This hotel had a fantastic location - right in the heart of Herald Square, about 20 feet away from the 34th street subway station, and walking distance to many of NYC's top sights. However, the hotel itself left a little to be desired - it was quite dirty inside, paint peeling, staff just okay, and the rooms smelled musky. If you just want a place to sleep in the heart of the city, this is a fairly reasonable price, but if you're looking for something a little nicer, look elsewhere.	
May 28 2004	Stanford Hotel ...worth going back to	We stayed at the Stanford Hotel ( W32nd Street ) for 4 nights in March 2004.. We enjoyed our stay , comfortable beds .. clean bathroom ... the staff always friendly and helpful .. Breakfast provided was ample to start you off for the day .. rolls, cereals , cakes , coffee and juices ..as well as the most delicious toast I've ever had, spread with grape jelly! mmmm Location is good for all sights and, for the money you wont be disappointed..I'd go back ther without hesitation ...	
Feb 11 2004	By far the best place we have ever stayed!		
Jan 7 2004	Advertising Misleading		
Dec 24 2003	Dissatisfied with Stanford		
Dec 20 2003	Great Hotel!!		
Dec 8 2003	Great Location Excellent Service		
Dec 5 2003	Clean friendly and safe		
Oct 22 2003	pleasant surprises at Hotel Stanford		
Sep 8 2003	Great Deal Clean Room!		
Jul 20 2003	Very Happy with Stanford		
Jul 14 2003	Great price and location		
Jul 14 2003	Centralissimo ....		
Nov 21 2009 	ninguma		
Nov 13 2009 	vale solo per la posizione		
Oct 10 2009 	Excelente!		
Oct 9 2009 	Buon hotel ottima posizione		
Sep 29 2009 	Excelente ubicación excelente relación calidad-precio		
Sep 22 2009 	??????????		
Aug 26 2009 	Perfekt läge på Manhattan. Rekommenderas varm!		
Aug 26 2009 	scarso...purtroppo...		
Jul 31 2009 	Gute Lage		
Jul 26 2009 	Ottimo hotel!		
Jul 25 2009 	repetiría		
Jul 24 2009 	Excelente limpieza y muy buena ubicacion		
Jul 5 2009 	Excelente situación cómoda estancia.		
Jun 21 2009 	Centralissimo e straconsigliato		
Jun 12 2009 	Buona posizione		
May 12 2009 	Il posto ideale per visitare la cittá		
May 9 2009 	prestations basiques mais très bien situé		
May 7 2009 	Ottimoooooo!!!!		
Apr 20 2009 	ottimo hotel a buon prezzo		
Apr 1 2009 	Ottimo albergo e ottima posizione		
