	I am not sticking my neck out here---great hotel.....lol	Stayed here for 2 nights. Excellent staff,especially the breakfast and wine and cheese staff.Front desk staff very good also. I agree with the Irish girls,Dos Caminos ,is a good restaurant just around the corner.You are in a very good location and can walk everywhere.You cannot go wrong with this hotel,the value of the breakfast and wine and cheese makes up for the extra dollars you spend.	
Sep 21 2009 	I loved everything about the hotel!!! I'll be back for my next trip.	I am recommending this boutique hotel to all my friends	
Sep 20 2009 	Excellent location!	We stayed at Hotel Giraffe for 4 nights in September 2009. Location of the hotel is excellent, walking distance from many attractions and many nice restaurants in neighborhood. Breakfast was of good quality and the breakfast room was peaceful and cozy. Helpful and nice personnel, service was fast whenever needed. Rooms were quite small but nice, I especially appreciated bathrobes and iron and iron board in the room. Only minus is the sound isolation. As we stayed on the third floor, you could hear the traffic sounds during the night. Luckily the area is really tranquil, so we did not have any problems with sleep.	
Sep 16 2009 	Great location friendly service	We had a wonderful stay at Hotel Giraffe. We stayed in the King suite and it met all our expectations. The rooms were big (for NYC) and always clean. The staff was friendly and unobtrusive. The nightly receptions were well-stocked and much better than I've encountered at other hotels. The morning breakfast was also well-stocked and low-key. Plenty of papers and spots for everyone.The location is great, it's about 15 minutes by cab to Broadway and Time's Square. You can walk to the Flatiron Building and Madison Square Park. A one block walk allows you great views of the Chrysler Building and the Empire State Building and if you fancy a longer walk, you could go there as well.Also walking distance to the Gramercy Tavern if you want a swanky night out and possible celebrity sighting as well as the dependable Les Halles for steak frites.It's fair money for what you get and you can get good prepaid packages on the web site. I definitely recommend this hotel and would stay here again.	
Sep 16 2009 	Whenever we are in New York Hotel Giraffe is out first stop	After researching online forever, we decided on Hotel Giraffe. Complimentary breakfast was excellent. Great bang for your buck.	
Sep 15 2009 	So comfortable and accomodating in a lovely part of NY!	We enjoyed a lovely weekend at the Hotel Giraffe. It's convenient to many nice places to eat, the room was very comfortable, the staff so accomodating and the amenities in the lobby and the terrace were wonderful. We will definitely return.	
Sep 15 2009 	Hidden Gem in NY	Having stayed at numerous hotels in NY I can truly say this is the best value ever. Rooms are spacious with big bathrooms and balconies, and the service is impeccable - best in NY. the complimentary breakfast is great - exactly what we needed (healthy and good choice), the complimentary water in rooms, as well as coffee and tea throughout the day in the lobby adds to the very positive impression of this hotel. If you plan to spend time both up-, mid- and downtown, the location is absolutely great; I usually stay downtown, but found this location to be great - 7 minutes walk from Union Square and close to everything. This hotel comes highly recommended and I hope to return very soon	
Sep 14 2009 	Very much in our comfort zone	Well located in quieter part of Manhattan, easy walk to superb restaurants at all levels of cuisine, access to an excellent health club facility, good subway access.	
Sep 10 2009 	2nd stay and still loving it	Love the spaciousness of the room...hey, it's New York and this room is big!Staff is friendly and helpful. Free breakfast is a plus. Location is unbeatable.Stayed here last year, and came right back this year without checking for otheroptions.	
Sep 9 2009 	Worth every dime !	Excellent staff and location, clean, silence and roomy rooms.	
Sep 8 2009 	A Quiet Haven from the Excitement	I stayed at the Hotel Giraffe for 2 nights recently with two of my family members while in town for the US Open. We couldn't have asked for anything more from the friendliness and helpfulness of the staff to the free breakfast to its convenient midtown location. The rooms are large (by any big city standard) and plush and ours even had a balcony. The reviews for this hotel are not exaggerated, it's a gem in New York.	
Sep 5 2009 	3* basic hotel in no way 'boutique'.	Fine if you are looking for a good clean hotel with basic amenities. Terrible if you are expecting a boutique hotel with chic rooms, nice bathroom and designed public spaces.My only truck with this hotel is that it is mis-represented. Breakfast in the small lobby area a 'bar' that is pitifully small, rooms that are ill-maintained, bathrooms that make it feel like your typical 3* hotel, decor that is poorly designed, tv slapped on the furniture not even fixed to the wall, box of tissues in cardboard retail box slapped in bathroom. no space has been used for any sort of guest lounge, proper breakfast room etc etc.. Makeover of this 3* hotel shamefully weak, low quality exudes with pathetic attempts here and there to make it slightly boutique, a bit of bed linen a curtain here and there. In short a complete rip-off. Shame, as a 3* hotel it would have received 5*.	
