	Kimberly Suite	We had a two bedroom suite with an outside deck with limited but nice views from the 19th floor. Full compact kitchen, two baths, really nice older hotel. Lots of action by the lobby and out on the street.	
May 17 2004	Kimberly is great	The Kimberly was outstanding. First we flew into Newark and since there were six of us, they clued us in to a Limo Service (Ask for Ralph 718-823-4350 GQ Limo $175 included tax) as it was cheaper than two taxis and didn't have the hassle of a shuttle. The rooms were killer. We had one with two double beds and a pull out couch (Sleeps like any pull out - Not like your bed at home but ok) and another one with a King and a pull out. Full kitchen. Very clean. Decent bathrooms (small but tidy). The living room and dining area were excellent and the best was that they put us across the hall from each other so we just left our doors open and ran back and forth. I think there are only 6-8 rooms on each floor and the people at the front desk and concierge desk were top notch customer service. There is a deli around the corner that will blow your socks off (Azure). On weekdays it has everything you can think of and was outstanding. Concierge also recommended Umbertos in Little Italy which has excellent food and a decent price - There is even a fun karaoke bar around the corner. Have fun in NYC and enjoy the Kimberly - It will not disappoint. 	
Apr 26 2004	Great location nice room fair price	We just returned from 3 nights at the Kimberly. After a slight glitch checking in (there were no rooms with king beds so we had to upgrade to a larger room), we were very happy with our surroundings for the three days. A stone's throw from all we wanted to see - including great shopping on Fifth Avenue, Central Park etc. (and a wonderful mexican restaurant called Mama Mexicano, one street away opposite Pampanos).Fantastic service. Very helpful staff. Spacious room. Would definitely return again ...	
Jan 12 2004	Kimberly -- a cozy suite hotel in midtown		
Oct 8 2003	Value-Value-Location		
Oct 1 2003	Quality room good value		
Aug 18 2003	Excellent Value in the Heart of it All!		
Jul 7 2003	Would Not Recommend		
Jun 25 2003	Not that great		
May 14 2003	Excellent hotel with good service		
Apr 15 2003 	Better than expected		
Feb 9 2003	very nice very small bathrooms		
Nov 3 2002	The Kimberly is terrific!		
Sep 11 2008 	situation idéale		
Jul 28 2008 	il ne lui manque pas grand chose		
Sep 29 2007 	Plus jamais		
Jan 5 2006	Excellent rapport qualité/prix		
