	Best hotel for value in NYC	My mom and I recently stayed at the Ramada Eastside for Thanksgiving to enjoy the Macy's parade. The hotel is in a good location and we could walk to everything. Continental breakfast is included in room price, which is nice. Our room was compact but very clean. We had a coffee maker (which is rare in NYC), flat screen tv, comfortable queen bed, and for the price and location, we would definitely stay here again. If you want a cozy, nice, quiet, clean, safe, convenient, and reasonably priced hotel in Manhattan, the Ramada Eastside is the best value!	
Jul 26 2004	It worked for me!	This place was great for the price. My mom and I were in NYC for the first time and didn't want to waste money on a hotel that we planned to spend little time in. We stayed at the hotel for two nights and found the staff unfriendly but we weren't turned off by it. The room was small, clean and quiet. We even had a great view. The continental breakfast was good and we loved that they had bagels and cream cheese too. Overall, I would stay here again.	
Jul 21 2004	Cheap 	This is a great hotel for the price: clean, cool renovated building, friendly staff, decent (&amp; free!) continental breakfast. More &quot;taste&quot; of the city than the family / large tourist groups Times Square hotel experience. Our room was a corner so we had 2 windows of sunshine and a view of the neighborhood streets.Tip: Expedia charged more than the Ramada website (weekdays $89)Tip: If there is 1 thing this hotel could improve, it's the towels. If you need fluffy, thick towels to dry your hair, bring one of your own. If you don't care, don't worry, it's fine.Transportation: cabs always available. Take healthy walks to Union Square or Times Square, 6 train is close by or further up is Grand Central Station. Take the M101/M102/M103 bus down to the Lower East Side.	
Jul 7 2004	Great price. clean what a deal	Hotel was very close to the subway. Very clean. Very quiet. The best part was it was very affortable (NY standards). My wife and I were there over the July 4th weekend. She also loved the fact that it was the same hotel seen in the movie &quot;The Terminal&quot;. Even though the room was a bit small, compared to hotels in other cities, it was perfect for the 2 of us. 1 street away from a lot of restaurants. Highly recommend it for the price.	
Jul 4 2004	affordable quiet comfortable	I was so very happy here in NYC. It was my first visit to the Big Apple, and this hotel was wonderful. Close to subway, friendly-staff, and comfortable rooms. Thanks so much!	
Jun 25 2004	good value good location	i've only been to New York once, but this hotel was very good value for money, in a good location (near the empire state building). The rooms were clean, comfortable, the en-suite bathroom was nice, and there was a big TV! The staff were helpful enough, and breakfast was decent-bagels, doughnuts, ceral, fruit... I can't remember exactly what we paid, but it was a better price than we found for some hostels. I would definately recommend it.	
Jun 23 2004	Good choice		
Jun 16 2004	Great hotel and really great price!		
May 14 2004	Great value with nice clean rooms.		
May 12 2004	Thumbs Up for Ramada.		
May 6 2004	Great!!!		
Apr 30 2004	Nice Hotel		
Apr 27 2004	Nice Budget Hotel		
Jan 31 2004	A very nice place to stay		
Jul 25 2003	good value		
Jul 5 2003	Great value		
Nov 20 2009 	Ottimo hotel		
Oct 19 2009 	??????????????		
Jul 28 2009 	Cherchez pas ailleurs.		
Apr 30 2009 	on ne peut plus parfait pour son prix trés attractif		
Apr 19 2009 	ottima posizione ottimo prezzo pulito		
Nov 22 2008 	Bien pour New-York		
Oct 15 2008 	Wow!		
