	Great deal and great location great comfortable beds and nice lobby	This is my second time staying on the upper west side and my friends first time. They are now convinced that this is the place to be in NYC. It is so convenient to the subway, great cafe's, decent street vendors, fabulous markets and stores and the museum and park. The beds were so comfortable and the warmed cider available in the lobby was great. We had a small suite and the kitchenette was perfect to bring leftovers back. We loved the stay and the location.'Gail in Vermont	
Sep 25 2004	Can't beat the Milburn!	Stayed at the Milburn during September 2004 for a total of 7 nights, and cannot recommend this hotel highly enough. Great location, just minutes from the 72nd and 79th street subway stations on Broadway, within walking distance of many great restaurants catering for all preferences as well as some of the upper west-side's best markets. Minutes from Central Park, the Milburn is situated in one of the friendliest and safest areas in Manhattan. The staff at the hotel are excellent, free wireless internet in all rooms (and wireless interface cards available for rent). If you don't take your PC, there is a free-to-use computer with internet access at the front desk. Good tv and video package, cd players kitchenettes in the rooms (fridge, sink, microwave, etc). Rooms are nicely decorated and are quite spacious for a small hotel. Even the sofa beds are comfortable, a rarety in any hotel! The only issue was the slightly noisy air conditioning unit, but it's not so bad that you would lose any sleep. All-round excellent hotel, great value-for-money considering this is Manhattan and is the best I have had the pleasure of visiting anywhere in the US in the last 10 years.	
Sep 12 2004	Peace and Quiet	Stayed at the Milburn Hotel from 9/4-9/9/04. We are so glad that we stayed at this quiet small hotel and not one in midtown. It is very close to Central Park and the people in the upper west side are friendly and helpful. There are great cheap restaurants all within walking distance. For breakfast you can't beat the Manhattan Diner on Broadway just down the street from the Milburn, we ate there every morning for $5 each and it is a big breakfast and good service. It is great that the hotel has a kitchenette because there are many markets close by (some open 24 hrs) were you can load up on food for midnight snacks. If you want to see midtown and have your stress level go up about 100% it is just a subway ride away but you will want to come back to the peace and quiet of the upper west side and Central Park as soon as your sightseeing is over.	
Sep 6 2004 	The Milburn's a winner	My boyfriend and I stayed at the Milburn for the second time August 22-25. The bathrooms are small but fully equipped and having a kitchenette is great. The location is perfect--close to the subway, lots of great restaurants and museum mile is just across the park. I've recommended the Milburn to two friends and they both loved it. We'd definitely stay here again.	
Aug 26 2004	The Milburn Hotel: A great family hotel on the UWS	Our family of three stayed at the Milburn for six nights in mid-August. We had booked a two room suite through the hotel's web site and were very pleased with our accomodations. Our rooms were very clean, large and comfortable. My son was thrilled with the free video selections downstairs and the fact he had his own TV. The staff was very professional, friendly and helpful. As the other reviewers have stated, the bathroom was tiny but in good, working order. Furnishings were very basic. Subway and buses are both close by, easy and safe to use. Great neighborhood; lots of food options nearby.We highly recommend the Milburn and would stay there again.	
Jun 29 2004	Well worth considering- The Milburn	Stayed at the Milburn for 2 nights 24 June 2004. Expedia had messed up our booking but they were very helpful. The staff were very friendly and went out of their way to help us (explain the subway, book restaurants etc.) The rooms were fine for a 3 star hotel-clean well air conditioned but bathroom was tiny ( although the shower worked well). The location is great. It is set in an interesting part of Upper West side. There are plenty of restaurants, shops delis etc on your doorstep and the subway is minutes away with an express link to the rest of New York. I would use it again	
Jun 22 2004	Nice comfortable but forget internet		
Apr 10 2004	Loved the Large Quite Rooms!		
Jan 6 2004	Enjoyed it Very Much		
Nov 30 2003	Not 5-star but fine		
Apr 15 2003	Good location decent but not extraordinary room		
Feb 17 2003	Wonderful Stay		
Jan 31 2003	Milburn in a pinch		
Jul 22 2002	Burned at the Milburn		
Jul 7 2002	Great Deal		
Apr 1 2002	Excellent value great service		
Jan 24 2009 	?????????????????????		
Dec 21 2008 	Mitten in Manhatten und nah am Central Park		
