	Incredibly noisy room	Unbeatable location which is both the best and worst asset of this hotel.Just across the road from Victoria Station, it is situated strategically, especially if you arrived in London from Gatwick. The drawback is... the room (4th fl) was facing Victoria Station and it was INCREDIBLY noisy at nights. I cannot believe that, when designed, nobody realized that being so close to Victoria the rooms should have been, at least to some extent, soundproof. I stayed for 2 nigths. First one barely slept. I got up from bed several times to double check that the windows were closed as I just could not believe so much noise could come into the room. Second night I slept much better... because I had previously bought earplugs.By the way, the internet connection was free, but very slow.	
Feb 14 2006	Excellent location but be careful	My family stayed in the hotel for the weekend. We were given 2 very nice adjoining rooms. The location is very convenient very close to Victoria. We had stayed there before when it was the Holiday Inn. It is now refurbished. Being a Spannish hotel, many of the tv stations are spannish, and the magazines in the room too. Both days at breakfast there was a wait. On Saturday they laid up some tables in the bar, but on Sunday we had to wait for 10 minutes.A hot chocolate from the bar, was luke warm, and the powder from the packet not completely stirred in.What upset me most was that my daughter had some perfume stolen from the room. The staff accepted no responsibility, almost doubted that anything had been taken. Whereas I will put many things in a room safe, I really did not think that it was necessary to place perfume there too. It was a great disappointment to what would have otherwise been a very nice weekend.	
Jan 15 2006	perfect location	i stayed at the hesperia from the 30th jan to the 2nd of jan with my girlfriend.we are 22 and 19.we found the hotel to be in a perfect location.literally 20 metres from victoria station, right by loads of bars, restaurants, bus stops etc. within walking distance of buckingham palace and big ben. the trains were extremely easy to use and people were more than willing to help.trains and buses were cheap and efficient.get the day pass to zones 1 and 2 which is all we needed for about £4the rooms were very comfortable and clean with a large flat screen tv and massive bed. the only criticism is that the mirror was too far from the plugs for my girlfriend to do her hair and use straighteners/hair dryer, so i would recommend taking a small mirror just in case.the staff were very friendly and i would highly recommend the breakfast buffet.fresh juices, tea, coffe and everything you could possibly want to eat, all at a very high standard.didnt have any problems with noise that other people have complained about.we were on the fourth floor though so i dont know if that helped	
Jan 5 2006	So convenient lovely stay	We arrived here in late December after getting a great deal, £89 per night for the room, no breakfast, inclusive of tax. The room was lovely, average size, nice textured brown theme on one of the walls, flat screen tv, lovely bed, average bathroom, pretty organza seperating the bed from the clothes area. The location was very convenient, it's literally outside Victoria station and we came from Gatwick which really made it ideal. We bought our breakfasts in the station, and could keep them in the minibar for the morning- we made good savings there. It is within easy walking distance of Westminster, Big Ben, The Eye, Buckingham Palace, and more than manageable to Downing St, Trafalgar Sq/Leister Sq etc, plus the bus tour companies operate round the block. The Victoria Palace theatre is again, a 4 minute walk, we went to see Billy Elliot which was fantastic. I know how worried I was when trying to book a hotel before I left, but I have to say this one is a genuine gem in terms of proximety, amenities and general niceness- we really enjoyed our stay.	
Dec 21 2005	great palce to start shopping trips	Was in Hesperia London Victoria Hotel for a shopping break (two nights), booked for 99£ on superbreak.com (including everything - breakfast, VAT, taxes).Room was modern, spaciously and clean, breakfast was ok, not famouse for spoiled swiss travellers. Staff was very polite. Everything worked fine, comparing the former hotels on the same pricelevel Hesperia London Victoria was a great deal.Location in the opposite of victoria station was a perfect point to reach all famous london shopping locations within minutes.Would definitely recommend it!	
Oct 25 2005	Extremely well placed hotel - great weekend!!	We have just spent 3 nights in the Hesperia in London and had a great weekend. The breakfasts were excellent and the lobby, bar and dining room were very clean and well kept. The staff were quite helpful and pleasant and the only disappointment was in the first room we were allocated as there was scaffolding right outside the window. On querying this at reception we were informed men WOULD be working there early in the mornings so we naturally requested a change of room. We were offered an upgrade for an extra £75 - we were very disappointed to discover we were going to be charged as we had paid upfront for the hotel in August and having had the use of our money for almost 3 months it was annoying to think we were put in this room in the first place! However, we were eventually allocated another room with a smaller bed than we had paid for and once we unpacked and resolved to &quot;make-do&quot; our stay was great. The hotel is currently being refurbished and once this is complete I'm sure it will be even better.	
Oct 22 2005	Had a Lovely Stay!	My wife and I had a lovely 2 night stay there. The staff were friendly and very helpful, the place is convenient to a huge range of London attractions and the room was spacious (Huge bed), clean and very comfortable. We recommend the place highly.	
Sep 29 2005	Loved It	I stayed here for one night and it was fabulous. The room was modern and clean.Staff were extremely friendly and helpful. It is so handy to the train and tube stations. The breakfast was excellent and had loads of choices available to suit everyone's requirements. I can't wait to return and would certainly recommend it.	
Aug 29 2005	Great breakfast nice functional hotel	Room size was good for London I suppose (executive room). Buffet breakfast was fab! Really good range (10 different fruits, full English and continental, cereals.....). Only complaint was the room and corridors were very hot, air-con was ineffective, but it was hot in London. We payed £105 for a double incl. breakfast and got a free upgrade just by being polite. We would stay here again, but on reflection we would probably prefer somewhere with more character. But for a 'holiday-inn' style hotel, it's excellent. Like other reviewers recommended, we stayed at the back and it was very quiet.	
Jun 22 2005	beat expectations	cannot fault this hotel- v reasonably priced,2 minute walk from metro, decent size rooms which were spotless, nice aircon and v quiet altho we were on the 6th floor which always helpsstaff helpful and polite and nice variety for breakfast- cannot recommend highly enough	
Jun 13 2005	CLEAN/COMFORTABLE ACCOMODATION!	My husband and I stayed at the Hesperia last month and chose the location as we had tickets to see billy Elliot at the theatre in Victoria.Directly opposite the train station and a 5 minute walk to Buckingham Palace,an ideal location.The breakfast is great,excellent choice and friendly staff and the facilities are brilliant. (sauna/jacuzzi/pool).Our room was a bit disappointing as the hotel was advertised as 4 star and the room was very similar to a travelodge/travel in room but it was very clean and comfortable.The lobby and bar and rest of the facilities were 4 star, the room 3 but overall very good.	
May 10 2005	Ready to go back again!	My husband and I just returned from London. The Hesperia London Victoria made our vacation that much more pleasant. The staff was friendly and helpful, the breakfast buffet was superb. Our room was cozy and quiet all three nights. We loved the large bathroom and the hugh bathtub. And yes, there was also a telephone in our bathroom!!! This hotel is close to the main attractions like Buckingham Palace, Big Ben, West Minister Abby, and one half block from the well known tour companies for all day sightseeing. It took up maybe two minutes to walk over to Victoria Station to catch out train back to the airport. When we go back to London we will look forward to staying here again!	
May 4 2005 	I would have rather slept in a tent	I have stayed in this hotel for one week. I am shure that they have never absorb the floor in my room. Room was uncomfortableness. Food was bad.neighbourhood is catastrophic! unreasonable prices!!! - for nothing...Don t go there...	
Mar 6 2005	Hesperia exceeded my expectations	I just got back from London and i agree with the last reviewer. The hotel staff were very friendly, the room was very clean and organized and modern. I just stayed one night there and had no problems. I would stay again. The location is very convenient - next to Victoria Station.	
Feb 8 2005	I'm not buying it	Either a lot has changed at this hotel, or the previous reviewer is making stuff up.  I stayed at the Hesperia London Victoria for a week in January. The hotel is in a very convenient location. It's very clean, the staff is friendly and helpful, and I felt completely safe in and around the hotel. For the money, it's a great choice for visitors to London. 	
Sep 29 2004	Better than Average	Having stayed in a few hotels in London on business I can say that the, now renamed, Hesperia London Victoria is one of the better ones. Yes the rooms are a little dated, and yes it can get a little noisey if you face the station and have your window open, but for the prices they charge, in a London hotel, you will rarely find better. The only real complaint that I have regarding this hotel is the leisure facilities. The gym equipment appears a bit shoddy and the room where the equipment is located is a bit cramped for all the pieces they have tried to stuff in there. Still, overall I'd stay there again.	
Sep 25 2004	An excellent hotel	I have stayed in this hotel on many occaisions and have always found the accomodation and service to be of the highest standard.Getting to the hotel is easy. This is because the hotel is right beside Victoria station - offering easy connections to the Underground and National Rail networks. (Tourist Tip: When you're leaving the mainline station, leave by Exit 1 and you'll see the hotel just across the road.)The rates for this London city centre hotel are excellent. I have also received upgrades to executive rooms and suites several times.I was sorry to learn that this hotel is no longer a franchisee of InterContinental Hotels Group's Holiday Inn brand. It is now a member of the Hesperia hotels group. However, I'm sure that the hotel will still delight you with excellent service and a warm welcome, should you choose to stay there.	
Aug 16 2004	Hotel is the Pits!	I had reservations at the Holiday Inn Victory as part of a group of 23 for 14 nights. London was having a heat wave and the air conditioning was out. They told us for 3 days that it was being fixed any minute..a lie, they were just waiting for cooler weather. The toilets did not work, some of the phones did not work. They were rude to us. We asked for fans and told no. When we asked to be moved to another hotel, the front desk manager told us in typical British condescending manner that &quot;you are not going anywhere&quot;. Lied to our travel agent saying the air was 100% working. We finally got moved to another hotel after our first three days were ruined by them. The hotel is in a good location right next to Victoria Station and apparently they feel they can treat clients any way they choose. Would never recommend this hotel.	
Aug 11 2004	Nice place!	I've stayed here on business extensively and it's a nice hotel, the staff are friendly and the gym is ok (For a hotel Gym). It's convenient for most places in London being next to the tube station and near to parks and the like.I agree that it's noisy being next to the station (The beeping through the night can drive you mad) but ask for a room that's not on the station side and you'll find it much nicer.(Being a Holiday Inn Platinum card member helps too - and I got a Christmas card last year too!)	
Jul 29 2004	One Major Problem	Nice room. Quiet for being close to station. Convenient loaction. Excellent breakfast buffet. However - air conditioner did not work and three requests to the front desk were ignored.	
Jul 21 2004	so-so hotel		
May 31 2004	Good standards and large suites		
May 20 2004	A lovely clean hotel with great location		
May 18 2004	Superb Location and Very Quiet		
May 4 2004	Good too bad the exchange rate is so terrible		
Mar 9 2004	Just what you need		
Jan 19 2004	what parking		
Oct 13 2003	No bargains in London		
May 18 2003	A superb hotel		
Apr 24 2003	Got skin rash from swimming pool		
Nov 22 2009 	No merece lo que cuesta		
Nov 13 2009 	muy buena ubicacion		
Nov 7 2009 	Bien situado cerca de Victoria Station.		
Sep 24 2009 	Equilibré.		
Sep 5 2009 	Todo un acierto		
Aug 29 2009 	??????		
Aug 28 2009 	perfecto		
Aug 21 2009 	Un poco decepcionados		
Jul 29 2009 	Excelente elección		
Apr 14 2009 	Perfecta Ubicación-Personal Amable y Eficiente		
Mar 11 2009 	EU?????WI-FI?NET????		
Jan 7 2009 	Buen hotel bien situado		
Dec 22 2008	A éviter		
Dec 12 2008 	Buen Hotel		
Oct 4 2008 	Ottima posizione per i trasporti e buoni servizi		
Feb 5 2008 	Buen hotel no te preocupes por tu inglés		
Jan 2 2008 	Un buen hotel		
Jun 29 2007 	Gerne wieder		
Feb 26 2007 	la suite para familia estupendo!		
