	On the slide	This hotel is on the way down. We have been going for several years and it started off as a great value find. Time passes and standards slip. Dirty towels, disinterested staff, no staff on Reception...no sense of Service	
Oct 18 2004	Very good	Booked a family room (2 adults &amp; 2 children) for a Friday and Saturday Night.BE WARNED: if you book with hoteldirect, they will tell you that the rooms can accommodate TWO chidren. In reality, the kids' bed is a single fold-out sofa bed which was too small to fit my two kids (6 and 8yrs).The manageress (extremely helpful) pointed out that they inform hoteldirect about this, but this agency persists in advertising rooms for 2 kids.Within 5 minutes of pointing out our problem, another put-me-up bed was brought to our room and our daughters were happy!The room was clean, the main bed very comfy, and the bathroom excellent (wonderful shower).Breakfast was good (eat all you like) - we had the continental option, but the full English looked good.The bar is spacious and child-friendly, and served bar snacks until 10pm (ideal after a long journey) - and the number of Irishmen who were in ther is testament to the quality of the Guinness!The hotel is slightly off the beaten track, but you can get the C3 bus up to Fulham Broadway/Kensington or the 391 up to Earl's Court.I would recommend this hotel to anyone.	
Sep 30 2004	A great choice	I stayed at the Jury's Inn recently for two weeks and really enjoyed the experience. The hotel is quite new. Along with everything being clean and spacious, the staff was very friendly. There is also a great breakfast served each morning in a nice dining room and newspapers are provided. The bar/coffee shop was also quite hopping when I was there.As far as the transportation goes, it works out well once you understand what bus to use. The C3 and 391 pick up and drop off directly outside the hotel, the former going directly to the Earl's Court tube station and the latter going straight to Fulham Broadway. Earl's Court is a very well-located tube stop and can get you most places very easily. Nowhere you stay in London is in the middle of every single place you want to go so you might as well stay at a place like this that has good rates, clean rooms and an attentive staff.	
Sep 27 2004	Very welcoming and helpful	This hotel was fantastic! We were welcomed by a warm staff member and promptly checked in. The rooms are a bit smaller than imagined, but still comfortable. The bathroom is spotlessly clean and all the furniture was new and clean. The staff was very helpful in finding us a cab during tube off-hours among other things. There's a bus that runs about every 20 minutes that takes you to and from the tube but it is a pleasant walk as well. The Fulham Broadway station is like a shopping mall of sorts. Very quaint! I recommend this hotel for its great value.	
Sep 16 2004	Wow! Loved this hotel		
Sep 12 2004	Nice but too far from the Tube		
Aug 16 2004	Jury's Inn Chelsea was an Enjoyable Experience		
Aug 14 2004	Jurys Inn Chelsea: fantastic		
Aug 10 2004	clean new hotel		
Jun 9 2004	great hotel		
Jun 3 2004	Outstanding Value		
May 31 2004	Great new hotel		
May 14 2004	Brand new but still needs to work on things		
May 4 2004 	Great hotel !!		
Oct 25 2009 	?????		
Aug 22 2009 	???????????		
Apr 18 2009	Absolut zu empfehlen		
Mar 30 2009 	carino fuori mano caro non è a chelsea...ti devi fare i chilometri per arrivare alla prima metropolitana (fuhlam broadwa		
Sep 7 2008 	Hotel agréable		
Jul 28 2008 	Hotel bueno aunque lejos del centro		
Jun 13 2008 	Hotel perfecto		
Nov 2 2007 	Muy bueno		
Mar 14 2006	Che tristezza il Jurys Inn Chelsea		
