	Why go anywhere else?	A recent two night weekend break started with great excitement when we entered our room 510, stunning room, clean, well equipped with lovely balcony views, (even if there was a lot of scaffolding to see - I guess that's to be expected thou - and it certainly didn't dissolve any of our pleasure) we could see the Post Office Tower and in the opposite direction the London Eye. The hotel staff were polite and friendly throughout our stay, although one waitress was a bit short with us at the bar but then seemed to come round more friendly when she realised we were actually guests at the hotel! and service at breakfast could be improved as I'm sure table service at this level shouldn't include leaning over us to place or collect items! But the concierge came up trumps on our first morning with a letter for my wife containing two surprise tickets for the theatre (yes - I set it up and yes - she was thrilled!!!!) We really enjoyed our evenings in the lounge and library where we indulged in many wonderful cocktails although I would have liked the bar even more had it stayed open later than 12.30 (despite an honesty bar). The hotel is in a great location and just a few minutes walk to Chinatown or Piccadilly and even at night felt perfectly safe. Expensive? yes. Worth it? as a special treat certainly, in fact currently considering re-booking for another show next February. In answer to my title question - I know there must be other hotels of this quality but why take the risk!! One last tip - use the City of Westminster car park at Newport Place in Chinatown, it may smell a bit but it's secure and good value if you book online plus it's 5-6 minutes walk to the hotel.	
Oct 15 2006	An oasis within the hubub of London	This was our second time staying at the SOHO and it was just as amazing as our first visit. The hotel is tucked down a side street in gritty SOHO. The 5 or 6 story building is a renovated parking garage with a masonry exterior with beautiful loft-style windows. I believe the hotel has about 90 rooms. So boutique is the category here. There also appears to be residential lofts that are a part of this building.Enter the lobby and you are welcomed into an unusal mix and match of a number of design styles. This is haute-design.The staff couldn't be more pleasant. No pretention. Just extraordinarily professionalism and friendly faces who recognize repeat guests. Which is what happened to us when we checked in and we were kindly upgraded to a luxury double room where a hand written note welcomed us back and some aroma therapy treatment was waiting as a gift to be used in a warm bath after a long flight. This kind of attention to detail is present at every twist and turn in this hotel. One night, after a long day and a late dinner out, as we passed the front desk to return to our room we were asked if we would like some warm milk and cookies sent up on the house as a late night snack. Who can say no to something like that? And the company should give their head concierge a big fat bonus. He was always eager to help. Getting us hard to find dinner reservations one night and trying to seek out much coveted tickets to &quot;Little Britain&quot; another night. Even offering to look &quot;on teh black market&quot; for us since teh show was long sold out. (Turns out it wasn't playing that night and we were leaving the next day.)Guest rooms are perfect. I read that every room is different. Our room in our most recent stay (room 405) was decorated perfectly (like everything in this hotel) with an incredible twoil-like (sp?)wallpaper, textured/comfortable fabrics, comfy chairs to relax while watching the flat screen TV (and DVD player), an enormous bath with a huge tub and separate glass enclosed shower and great closet space for those of us who like to overpack when we travel.Common areas are just plain quirky and plush. We had 6 firends meet us for drinks before we headed out to dinner one night and we used one of the drawing rooms as a gathering place. We had a waiter from the bar serve us and we and our guests felt like we were in our very own (albeit very grande) living room. There are 2 or 3 drawing rooms and they are all incredibly decorated. Classic British design meets modern. I just wish smoking was prohibited in public spaces...but soon I hear!The gym is pretty good as far as hotel gyms go. I'd give it a 7 out of 10. I have yet to find an extraordinary gym. Actually, I think the best gym in London is at the Meridien in Piccadilly, but I digress. The SOHO's gym offers great cardio equipment and a pretty good selection of free weights. Massage rooms can be found off the gym and I saw some relaxed folks coming out from those rooms as I ran on the treadmill.We have also found that the SOHOT Hotel is an extremely comfortable hotel for gay travellers. We've always been treated with kindness and respect.We will never stay at any other hotel in London. Well, maybe we'll check out other Firmdale Hotels next time we are in town. But I'd feel a little guilty, to be honest.	
Oct 1 2006 	Wonderful Hotel	We had a wonderful time at the Soho Hotel. The room was fantastic, the service was great and we couldn't have asked for more. Sandro the conceirge was extremely helpful and useful.Bravo!	
Aug 29 2006 	wonderful hotel	I've chosen The Soho for my birthday celebration 2 years ago and i've forgotten to give you my opinion about this amazing perfect and wonderful hotel. I've tried a lot of hotels in the british capital but this experience has been simply unforgettable.Everything is fantastic in this hotel from the staff elegant, trendy and helpful to the rooms, large, extremly well designed, some with a private terrace overlooking the trendy Soho district and with a lot of natural light due to large windows.This is a true five stars hotel with high quality amenities, a rare attention to detail, an impressive cleanliness and an exquisite breakfast.All the public areas are very comfortable as well like the library where you can have a drink in a cool trendy atmosphere. The lobby is huge with a Botero statue so original.The Soho is undoubtly the best adress in London and for sure one of the best hotel in the world, better than the other hotels of the Firmdale group and in conclusion, one of my favourite city hotels.I want to come back soon to stay again in this world of excellence and originality....	
Aug 28 2006 	perfect	My wife and I stayed for three nights in a junior suite at this hotel and it was the best hotel experience we have ever had.The Soho Hotel is able to combine absolutely flawless five star service without any intrusiveness at all. The design presents a warm and cozy environment without being stuffy or ultra-futurist-modern. It is at once lively and happening and also an oasis of calm. The location is perfect. We have not a single complaint.If you are looking for a full-service hotel of the old empire style with ringing bells and cathedral ceilings, stay somewhere else. If you want to immerse yourself in a jewel box of privacy, luxury and calm, this is it.Expensive? Yes, but worth every penny.	
Aug 27 2006 	A place to feel special	We have just returned from this beautifully discreet hotel. From the moment we entered this oasis of calm we felt special and pampered. The staff were, without exception, very friendly and helpful.  The decor in the hotel is lively and perhaps shouldn't work - but it does. The libary and sitting rooms are havens of peace. The bar gets full in the evening and is great place to people watch.We had a beautiful room which was spacious( when compared to other rooms in which I've stayed in 5 star London) and offered a bathroom of marble and glass. The separate shower was fantastic and as expected was equipuiped with high quality soaps and shower gels.The view from our room and indeed all the public rooms were not great. This is because the hotel is in a Mews area and so looks out only onto other buildings. This did not worry us greatlyThis hotel is in a great postion and I would love to stay again. It is not as brash or obvious as some similar hotels but it is a truely classy place to stay.	
Aug 20 2006 	Good but there are better	Let's start with the basics from the hotel - the rooms, the staff and the hotel decor: and on all these fronts, the hotel scores highly. The rooms are a good size (although slightly disappointing views I suspect in most), and are individually decorated. They're all in very good condition with nice touches. I liked the fact there was a hand-written welcoming card, the large wardrobes, a thoughtful range of items in the mini-bar and accompanying shelves, and the turn-down service had been done carefully not in a hurry. The staff also were polite and efficient (although apparently not able to book a taxi from the hotel on a Sunday morning even after a half-hour wait), and when we phoned to reception for an item to be brought to the room it was done promptly. The decor was good fun and the unique pieces of art in the rooms and round the hotel meant it was a place to wonder and enjoy being in - not just a place to stay. All in all, very good indeed.So why not a 5 star rating? Mainly, because the hotel lacked atmosphere. You stay at The Sanderson (round the corner) and there are queues of people waiting to get in to the bar each evening, there's a buzz and excitement there. Not so at The Soho. Even the day before the local &quot;Soho Pride&quot; festival, the hotel was creeping along not revelling in its location and environment. Perhaps it was the fact the bar closes at midnight (and staff who have to read the menu to remind themselves how to make drinks); perhaps it was the fact there were no doormen out the front, helping you and welcoming you to the hotel (they're not needed, but they demonstate that the hotel cares); perhaps it was just the poor quality shower that dribbled out water.Whatever the case, I just didn't find it worked. And that's a great shame because with a little more, well, pazzazz this hotel would be a shining star in a great location. I'd recommend it but only for a tourist wanting a solid hotel, not someone looking for a sparkling night out enjoying what London is most certainly famous for.	
May 31 2006	Great Hotel great location	The Soho Hotel is a beautiful hotel. The rooms are modern with amenities like high speed internet, LCD TV's, radios with Ipod hookups (supplied by concierge). They are well appointed and the bathrooms are also very nice. The restaurant has an excellent menu and the bar is busy at night. Downstairs they have a decently equipped gym. If you are looking for a very nice hotel and would like to stay in the heart of Soho, I highly recommend this hotel.	
May 24 2006	As Good As It Gets in London	We are a family of five, and we stayed at the Soho Hotel in a two-room apartment for two and a half weeks in April and May this year. Let me say this right off: this hotel is as good as it gets in London: attentive staff, excellent rooms, a lively neighborhood with every conceivable eating place, most theaters and Chinatown only five minutes away. It is a little more expensive than the usual, but then the usual will not have a ten-foot bronze cat by Botero in the lobby! The hotel restaurant is, how does one put it delicately, minimalist, especially from the point of view of a family that can get very hungry in London, which is about ten thousand kilometers from Asia where we live. But having said that, I have to say that it was always full, especially around the very long bar which seems to be the restaurant's centerpiece. So my comment is probably more indicative of a cultural divide: Asians go to restaurants for food, preferably in substantial amounts; Brits go for drinks, probably in similarly substantial quantities. All in all, this is a hotel that deserves a premium rating, and a promise to keep returning to it whenever you get to London.	
Feb 7 2006	Wonderful	We stayed here for our wedding anniversary and it was wonderful. The hotel itself, and our room, were both lovely, beautifully decorated - very stylish - with interesting pieces of art around. The bed and bathroom were both very luxurious and comfortable. They sent us in a bottle of champage for our anniversary, and the cocktails at the downstairs bar were delicious. Breakfast, delivered to our room, was also great, with an interesting selection to choose from (and much better than the other 5 star places I've stayed). Staff and service all impeccable.All in all a terrific place to stay - I have booked to go back next month and can't wait.	
Jan 31 2006	Great design good hotel	This hotel is in a great location (as its name suggests) and yet manages to be very quiet, as it is tucked away between 2 busy streets. The decor in the main communal parts of the hotel is very special, but I have to say that on a personal level I wasn't too keen on the decor in my room. We were upgraded to a junior suite, and although the quality of the furnishings was great, the decor was a bit 'old US style country house' which isn't to my taste. The bathroom was full of dark marble: very 80s. However this is the only real complaint I have, and it is purely a question of personal taste. I prefer clean modernity, not flowery.Be careful if breakfast isn't included in your rate - it was in ours but the a la carte would have come to £50! Plus the prices they quote for rooms is without VAT so that adds another 20%...Had a great time, it's a very special place but I would not rush back. I much prefer the Covent Garden or the Charlotte Street hotels.	
Jan 16 2006	Fantastic	We stayed here on New Years Eve and it could not have been better. The reception and general hotel staff are the best I have come across in recent years - possibly the best ever - and I travel regulary on business staying at so-called 'style' hotels in NYC, Lisbon, Barcelona, Amsterdam, LA and everywhere inbetween.We were upgraded on our arrival and the room set-up was fantastic. The materials, fabrics and decor are of a very high quality and the finishing of the room is astounding for this day and age, when craftsmanship and finishing has gone down the pan pretty much (will be interesting to see how the hotel maintains this, as it is still new and one feels like you are in fact the first persion to ever stay in the room!).The hotel and fabulous bar area was pretty quiet for NY Eve, but we were going outside for dinner and drinks (the fantastic Quo Vadis restaurant is just 50 yards away and is always impeccable) so this was inconsequential.Compared to the other style/boutique hotels in London, The Soho Hotel has upped the ante a long way - it mixes new boutique style with 'old school' warmth, quality and detail - can only recommend it highly!!	
Dec 30 2005	Great Place to Stay	My company helped to build this hotel so I may be a bit biased in my opinion. So with this in mind I paid for 5 other couples to stay at this hotel with me and my wife in December 2004. We have sinced returned in Jan and April 2004.My opinion and that of all the other people that stayed with us that first weekend was &quot;Amazing and Classy&quot;There is no snootiness about this place just lots of style and smile.The reception staff are extremely friendly and seem to have the knack of remembering guests names. The bar staff are also very friendly and polite. &quot;So they should be at those prices&quot; I might hear you say but trust me it isnt always the case no matter how much you pay.The rooms are the thing that blows most people away. Just how you would like your own room to be if only it was big enough. The beds were so comfortable i took a sneaky look at the matresses to see if it was possible to buy one somewhere. It was made by Silent Night and the model was called &quot;The Firmdale&quot; which is the name of the company that owns the hotel so they are obviously designed and made specifically for Firmdale HotelsThe bathrooms are exquisite with marbles and limestones.We have been very fortunate to receive a free upgrade to a junior suite on every visit so far together with a free neck and shoulder massage. They even remember you when you return and leave a personal little note and a gift in your room for you.I have read one report on here that says it is the worst hotel ever. Dont be ridiculous, try the Ibis Hotel at Euston.I personally dont think this hotel is expensive for the level of luxury. (Its good for star spotting as well: So far we have seen David Schwimmer/Ross from Friends, Robbie Williams and Busted). I understand from the Porter that Jeniffer Lopez, Sting, Madonna and others have all stayed there too.	
Dec 26 2005	beautiful hotel	We stayed in Soho hotel for 4 nights this July. The service was excellent. Especially the concierge was AMAZING. He got us all the hot tables in best restaurants, best tickets for great shows...The food was good. The restaurant downstairs attracts a beautiful London crowd everytime of the day.Although we stayed in a suit, the room wasn't very big but it was pretty good for London standards. I have to say that the hotel was really really well decorated. The location was so convenient. It's close to everywhere you wanna go.	
Dec 21 2005	LOVED and MISSED		
Dec 5 2005 	Amazing Hotel not to be missed		
Oct 31 2005	Awesome		
Oct 3 2005	Amazing Hotel!		
Oct 3 2005	Brilliant.		
Jun 27 2005	I loved this hotel		
May 4 2005	Just Perfect		
Mar 9 2005	Well recommended !		
Nov 30 2004	Nohoho Hotel		
Nov 12 2004	New 		
Nov 17 2009 	Génial - à recommander -vivement qu'on y retourne !		
Oct 17 2009 	Hotel Glamour !		
Oct 3 2009 	Tolles Hotel		
Aug 9 2009 	??????????		
Aug 4 2009 	hotel sympatique et branché excellente cuisine		
Jul 11 2009 	Quel gachis !		
Jun 10 2009 	????????????????		
Jan 10 2009 	Bon hôtel mais manque de classe		
Jan 9 2009 	Ottimo hotel nel centro di Londra		
Oct 13 2008 	Muy buen Hotel de 5 *. Trato bochornoso propio de una pensión...		
Oct 8 2008 	Un recuerdo precioso del hotel		
Feb 14 2008 	Fantastico Hotel		
Nov 22 2007 	Très bel hôtel		
