	Beautiful hotel shame about complacent staff	The Mayfair Hotel is stunning-great location, very clean and tidy and uber trendy.Barely a week goes by without photos of one celebrity or another seen going in or coming out of this popular hotel.Therefore, I expected alot more from this hotel.We arrived later on in the day, when reception was relatively quiet, however the gentleman behind the desk was surly, moody and didn't look remotely bothered to attend to us when we approached the desk. He made no eye contact with us whatsoever and didn't even greet us.After he gave us our room key he walked away without telling us where our room was,how to get there etc....I was at least expecting him to ask us if we wanted a newspaper in the morning, or if we needed help with our luggage (of which we had a very large suitcase), but I was very disappointed by his whole demeanour and couldn't believe this was a 5 star hotel I was checking in to. However, once we got to the room I was delighted.Large, clean, with a king size bed and marble bathroom, this more than made up for the rude reception staff. However, at 8am the following morning, we were woken by a knock at the door! It was the housekeeping staff wanting to make up the room! At 8am! We couldn't believe it, especially as we had gone there to relax for the weekend and catch up on our sleep.I was shocked later in the day after returning to the hotel at 4pm to discover our room hadn't been made up, despite housekeeping being so eager to do it at 8am! When we confronted the front desk about it, surprise surprise they just shrugged their shoulders and didn't really see what the problem was. We had breakfast in the bar on our first morning as the restaurant was too busy. The staff were very polite and attentive, however we still had to wait 40 minutes for our breakfast, which we ordered off the a la carte breakfast menu, which I felt wa too long, especially as it was only a bowl of porridge that I ordered.All this being said, the hotel does have alot of excellent qualities. The bar is fantastic and there is always a lively atmosphere in there no matter what time of day.The spa is outstanding and the food in the Amba grill is delicious (I would recommend the cod!).It is also one of the cleanest hotels I have ever stayed in.When booking a room, asking for one that doesn't overlook the front of the hotel as we were kept awake through the night by people leaving various bars/nightclubs in the area.	
Jun 3 2009 	Location great hotel not so great service poor	We got off to a bad start after been checked in which was a fairly cold and souless experience we went to our room only to find it was already occupied. The bed was unmade and someone's luggage was in the room along with toiletries etc. Returning down to reception I then had to queue for 20 mins. The receptionist who I talked to was not in the slightest bit concerned we had been allocated someone elses room and only when prompted by me apologised. There was a lot of huffing and puffing to find another room I was made to feel this was my fault. The rooms (ours was a deluxe) are certainly not 5 star and had we paid a full rate would have been a massive let down. They are decorated in that mushroomy colour which seems so popular these days and our view was onto other hotel rooms in all directions. The bed was amazingly comfortable. The bathroom was bizzare in that it contained your wardrobe - open, iron, spare pillows etc. Everything was exposed to the shower meaning somethings were damp. Also as the mirror was in there if you wanted to apply make up and dry your hair the bathroom was occupied for a long time. The &quot;wet room&quot; shower was no more than a shower head which spat a dribble of water and a screen.We did try the bar on the Friday evening but after waiting 30 mins gave up and went back to our room. The bar staff just ignored us in favour of those they seemed to no.Location is brilliant and most places are within a comfortable walking distance. Just round the corner there is Shepherd's market with fabulous little restaurants and just as close is the Wolseley which is a great restaurant in a really gorgeous room.We didn't have breakfast as I thought it was overpriced for what it was. If you want to venture on to Piccaddilly I reccomend Henry's and the Wolseley or there are vairous coffee places.Check out was smooth but again the staff displayed complete disinterest in whether we had a good stay. We left our luggage and when we returned it took the chap 10 minutes to find it.I travel a lot for business and in my view this is no way a 5 star hotel and certainly not by raddisson standards (try the one in Krakow) the area is brilliant would stay there again but would definitely want to stay somewhere with better service and staff who actually care about your enjoyment.	
Jun 1 2009 	A wonderful weekend at the May Fair	Had the pleasure of staying at The May Fair bank holiday weekend and couldn't have made a better choice. The family room we requested was perfectly presented and the ameneties were perfect. Smart, stylish and sassy - The May Fair has something to suit everyone. Had the pleasure of eating in the 'Amba' restaurant on the friday night - we were served by 'Chief' who was amazing and looked after our party all night - the service was super professional but not delivered in the usual 'snooty' way for a five star hotel. We like staff that like to chat and enquire as to why we are at the hotel and every staff member couldn't have done more for us !!!! Breakfast both mornings was wonderful - lots of fresh fruit, the yummiest yogurts and the fullest english you could ask for!!!	
May 30 2009 	Very upmarket 	This is definately five star. Expensive but worth it. In a vert good position for walking round the West End, but also very near to Green Park underground. Go for it!	
May 30 2009 	Fab Stay at the May Fair Hotel	My mother &amp; I went to London for girlie wkend in May. It was our first time to London and we decided to stay at the May Fair. We spent 3 nights there from a Thurs to Sun. As it was my mams bday I wanted somewhere special for us to stay.The hotel was fab. Great location. Great Service.There was fantastic atmosphere in bar and there was one girl working in there(cant remember her name but she had long blonde hair) that made us really welcome. Will definetly be back again for another wkend	
May 25 2009 	First class	Excellent services, smilling peoples and very good ambiance.	
May 18 2009 	highly recommend	Great location near Green Park tube stop. Nice size room, friendly and knowledgeable staff	
May 17 2009 	A wonderful break...	We spent just one night at The May Fair Hotel. We wanted somewhere special and the hotel and rooms were gorgeous. Disappointing that we could not check in on time and had to wait until late afternoon for our room but other than that the service was great. The room was huge and wonderfully decorated. Thought payment for the use of the internet was unnecessary. All in all a wonderful break - though pricey	
May 15 2009 	Great location great value	The hotel is located in Mayfair (2 steps from Picadilly and Green Park station) perfectly for shopping or business delaings in London. My rate included breakfast, and it was excellent! Not all rooms are perfect in terms of size and location, but reception were attentive and let me change my room twice to find the most suitable one.	
May 14 2009 	As usual - a fantastic stay and surrounding a part from business	Not only that this hotel is situated very central, but whenever I arrive at the May Fair I always say to myself &quot;I'm back home&quot;. This might be, because I have been there for several times now and people get me to know, but even for people who will be there for the first time (you have to start once), I can absolutely recommend the stay at May Fair. I'm so persuaded of the professional service and the &quot;ambience&quot; that I have decided to pass my wedding anniversary at May Fair. Absolute &quot;TOP&quot;	
May 10 2009 	Nice location disapointing hotel	I am just back from a weekend break at The May Fair Hotel, where my wife and I stayed in a 1 King Bed-Superior Room. It was our 5th Wedding Anniversary. We arrived on friday evening and the location was perfect. The check in was smooth, but the clerk did not seem interested in providing us information about the hotel without us first asking a question.The room was supposed to be a 1 King Bed-Superior Room, but to be honest there was barely any room to swing a cat. We have a king size bed at home, which is definetly bigger than the one in our hotel room. The bedroom and bathroom were a bit cramped/on top of each other to be honest.The room we were in may have been an afterthought by the designers, as it may have been a converted broom cupboard. Very noise also from the hotel corridors.We went to the May Fair Bar on friday night, but waited approx 30 minutes to be served. I would have thought that as residents we might stand some chance of getting good service.We were awoken each morning at 0830 to the cleaning lady coming into our room, even though we had the &quot;do not disturb&quot; sign on.We did not get extra towels, or a turn down service either night, which seemed strange for a luxury hotel.The check out on the Sunday was a bit of a feeding frenzy at approx 1100.This hotel may be marketed as a 5 star, and for location it certainly is, but for rooms and service I think it is probably a 4 star.	
