	Small but satisfying	After reading some of the negative reviews on this website, we decided to upgrade as we arrived at the hotel. The upgrading from standard double en-suite to executive double en-suite cost us £15 a night, and it was well worth the money. We were explained that the standard rooms were very small, with room little more than the bed. When upgrading we got a small, but rather nicely furnished bedroom, with a high double bed (with wooden carvings India style), with room underneath to stack the suitcases. There was a TV, a big Indian wardrobe, and a desk. Big windows facing Trebovir Road. The bathroom was small, but nice with tiled walls and nice equipment, and clean (!). The first morning the breakfast room was full, so we decided to have breakfast in a local cafe instead, but the next two mornings we ate at the hotel. Breakfast was good and plenty: rolls, bread for toasts, croissants, muesli, fruit, cheese, coffee, tea, juice, milk......Service was also good. Our room was not ready when we arrived so we left our luggage in the foyer, and on return, the luggage hade been placed in our room. The next morning we discovered that the electric kettle was not clean (probably some earlier guests have been warming milk or something in it) and when we pointed that out, the kettle was changed immediately.Some of the other reviewers complain about the room size. I quite agree, everything in this hotel is very tiny. The web side photos are almost real size photos! Tine reception, tiny rooms, narrow staircases, but if you're not planning to spend much time at the hotel, it serves your needs. The location is very convenient: 1 min from Earls Court underground station..	
Jun 8 2004	Loved our stay!	Last week my brother and I stayed at the Mayflower Hotel in London. The hotel was surprisingly good! Last year we had a complete different expierence visiting an other London hotel.Yes, the Mayflower rooms are quit smal, and you can hear the undergroud, because Earl's Court Station is situated right behind the hotel (which to me is great, you don't have to walk very far carrying your bags and suitcase). But what do you expect? You're staying in a metropole, not in a little village. The service was very good, the rooms were clean, service was excellent. Everything in the hotel (not in the appartment at Warwick Road) was renovated. The continental breakfast was good. I will certainly recommend this hotel to friends who want to visit London!	
Apr 21 2004	good price for London hotel but.....	London is an expensive town to stay in...so I was thrilled when I stumbled across the Mayflower Hotel on the internet. The web site looked great, the photos showed a selection of tastefully decorated, modern rooms, and the rates were perfect. Well as they say, buyer beware. The public rooms at the hotel were fine. And my mom and dad ended up scoring a large, spacious room at the back of the building. But my fiance and I..we weren't so lucky. Our first room was a walk-in closet w/ bathroom. There was hardly enough room for our two suitcases. I've traveled a lot overseas and I know that room sizes are not the same as they are in the states...but this was microscopic. We requested a change of rooms and they offered us an apartment about a block or so down the road. The apartment was not impressive (but it was spacious). Then they offered us another room back at the hotel. We decided to take it although it was not much bigger than our original room and it had zero air circulation. Bottom line, if you do book at the Mayflower and you are travling with more than one person, be sure to specify that you want a large room with a large bed.	
Apr 19 2004	A Great Experience	Our family (2 adults and a 2 year old) stayed in one of Mayflower's 2 bedroom apartments in the townhouse next to the hotel for 3 days. We had a very positive experience. Although I reserved a 1 bedroom apartment, we were given a 2 bedroom, 2 bath at no extra charge. It had been recently renovated with a full kitchen and washer/dryer. The hotel and apartments are located in Earl's Court which is not the most beautiful section of London, but well located, on a quiet street, 3 minute walk to the underground station and a 5 minute walk to the Super Tesco (a large grocery store) which is open 24 hours. Absolutely perfect for a family exploring London. We didn't need much from the staff, but they were personable and attentive when we needed them.	
Apr 10 2004	Excellent Value	Ended up staying here by default as their sister hotel, the New Linden was overbooked. Was a little annoyed at first as we arrived at 10pm to be told we were being transferred and knew nothing about the Mayflower. However, we were very pleasantly surprised, very clean, wooden floors, lovely shower/wc, , nice staff. Just round the corner from Earls Court tube station - slight drawback as we had a room at the back and you can hear the trains quite clearly but not a big problem. Small room but I think this is par for the course for London hotels in this price range and breakfast wasn't luxurious but perfectly adequate. Would definitely stay here again.	
Feb 12 2004	Be warned!		
Jan 30 2004	Awesome Hotel		
Jan 9 2004	Dissapointed		
Dec 19 2003	very small single room		
Oct 22 2003	Super clean just make sure where your room is situated....		
Aug 5 2003	Great Place Great Value		
Jul 21 2003	Modern but Noisey		
Oct 29 2002	Helpful		
Jun 23 2002	Very attractive remodeling . . .		
May 17 2002	Nice Place to Stay		
Oct 27 2009 	größte Frechheit-Preis/Leistung		
Sep 22 2009 	El peor hotel de Londres. Pesimo		
Sep 1 2009 	Un descubrimiento		
Jul 25 2009 	Bello l'appartamento 24 F e tutto l'hotel		
Jul 21 2009 	Zimmer einfach zu klein		
Jul 19 2009 	Klein ist gar kein Ausdruck		
Jul 12 2009 	Bastante bien		
Jun 6 2009 	Hände weg		
May 29 2009	hotel mayflower london(sandra)(españa)		
