	A refuge from the awful weather	We stayed at this hotel for the same reasons a lot of other travellers do - it was conveniently located above the train station. The hotle was very moderately priced, and seemed even more of a bargain after what we paid for in New York.Our room had recently been refurbished and was lovely. The bed was spectacularly comfortable and we had the best sleep of the whole trip. Unlike others, I thought the room was definitely large enough. The view was nice. We had room service which was ok, and drinks in the lounge downstairs that were good quality, reasonably priced and accompanied by great service and snacks. It surprises me that there was no free wifi, but that it had to be paid for, whereas the 2* hotel in New York was able to provide it.The location was ok, and we were able to find some good restaurants and used the metro system with ease. I would definitely recommend.	
Jan 21 2004	There are better hotels in the area - avoid this one if you can.	Don't let the appearances mislead you.- fire alarms throughout the night - valet parking at $22/night (and our car got scratched) - $12.95 for in-room internet access (some hotels in the area offer this FREE) - charge $1.15 per call for toll-free numbers - prices for breakfast are extreme!!Do yourself a favour and take a moment to look at other hotels in the same area that offer better customer service and facilities.	
Nov 2 2003	Overall very nice	This is the most centrally located hotel in Montreal. If you want to be in the middle of things, stay here. What we didn't like : The lobby wasn't impressive, and I was amazed at how much nicer the other areas of the hotel were. What we did like: Once you leave the lobby, everything gets nicer. The rooms are really special (we stayed in a mini-suite, it was like two rooms for the price of one) and the restaurants are supurb. The pool is nice, but can get noisy if there's too many people. The hotel is situated right over the nicest underground shopping are in Montreal. The hotel elevators actually go right down into the train station and shopping promenade. The elevators are suprisingly fast, you wont have to wait even on a high floor. If you can forget about the lobby (who cares about it anyway) than this is the place for you.	
Oct 14 2003	Great Hotel	The Fairmont Queen Elizabeth is in a great location and within walking distance to shops, easy access to underground shops and train.The service was excellent, the concierge was extremely helpful.Definitely will stay again.	
Sep 25 2003	Gold Service in Montreal	My room on the Gold level of the Queen E. was very stylish. Use of the private salon for R&amp;R was great for me and my wife.	
Sep 17 2003	Avoid this hotel	Although a somewhat regular patron of the Queen Elizabeth, recently my experiences have dropped into the 'terrible' category and I now avoid this hotel &amp; recommend the same to everyone. In my most recent stay the alarm system 'went off' numerous times between midnight &amp; 4:00 am, including announcements to stay in the rooms, with no real emergency apparent. This is the 2nd or 3rd time that this has happened to me, and I have been told that it has happened to other guests at other times. To me there is a fundamental problem with the system. In another incident a hotel employee walked in un-announced to my room even with a 'do not disturb' sign on the door.Overall the experience is terrible, and there are better choices in Montreal.	
Jul 14 2003	Fairmount Queen Elizabeth	A little expensive,but this was a splurge for my wife and me. And so worth it. The Hotel was in Downtown,and was connected to the entire &quot;underground&quot; of trains,metro,shopping and food. The concierge service was great. The Hotel was minutes from the Quebec tourist info center, (where we caught the double-decker bus for a great tour. Tickets were good for two days,so after getting the &quot;lay of the land&quot;, we used the bus like a taxi to get on and off all over the city. The entire week was superb; friendly people, excellent food, and good shopping bargains.	
Jun 7 2003	Loved every moment		
May 1 2003	Bugs		
Mar 22 2003	Loved The Queen Elizabeth		
Feb 21 2003	What a dump!!!		
Feb 19 2003	QE Hotel Disappointing		
Oct 21 2002	Big Not Terribly Special 		
Sep 9 2002	Hotel Theft - How it ruined my family vacation!!!		
Mar 18 2002	Great Place for couples!		
Mar 18 2002	Vista espectacular		
Oct 31 2009 	???????????		
Oct 21 2009	Sehr schönes Haus mit Stil könnte aber hier und da renoviert werden		
Oct 10 2009 	Für ein Fairmont eine Enttäuschung		
Aug 20 2009 	El mejor hotel de Montreal		
Aug 15 2009 	Magnifique		
Aug 2 2009 	??????????????????????????		
Jul 18 2009 	?????		
Feb 16 2009 	Ne perdez pas votre argent!		
Aug 28 2008 	Un excellent séjour		
Nov 5 2007 	Niveau satisfaisant si bon prix obtenu au préalable		
