	Great location but that's pretty much it	Right in the middle of downtown, next to a metro station, I couldn't ask for a better location. However the room was nothing special. We had a king bed with pull out couch suite (with a small kitchen). There was nothing blatantly wrong, but it was the little things that showed that this hotel is not a luxury one. The appliances were dated but worked fine. The bathroom was tiny and in need of an update. There were a few little holes in our bedsheets. One power outlet was not working. The list goes on, but none of those things really had an impact on our stay. We did not have to deal with the staff much so I can't comment on their helpfulness.It's a convenient place in a great location for a good price. It worked for us, but don't stay there if you expect luxury	
Nov 15 2004	Great value for $$	I have read many bad reviews of this hotel, our experience was quite the opposite. For a very reasonable price we got a suite w/ 2 double beds, small well equipped staff and it was spotless. The locations is fantastic and the staff from front desk to housekeeping to valet were very accomodating and helpful with a smile. The is a nominal fee for parking in the garage but it is steeply dicounted for hotel guests. Only problem we had was weak shower pressure, but who cares for a great place in the hopping district of McGill college and fabulous shopping? While this hotel is not great for those seeking luxury it is a very wise choice for the budget/family traveler.	
Nov 2 2004	GROSS HORRIBLE HOTEL	This hotel has ineffective non-working air conditioning in all rooms which puts out moldy air - and that can be a problem in the heat of a Montreal summer because the windows here don't open. This is A VERY shabby unkept hotel with threadbare bed linens, scuffed furniture and old wallpaper which is peeling off the walls at the seams. It is clear that this place is having MAJOR financial problems and unable to maintain itself. So much paint was coming off around all of the windows that there were chips on the carpet around them. It was shocking to think that this hotel is being billed as a an 'upscale one', which is utterly false. There are tiny little bathrooms which are poorly arranged poorly cleaned. Rotting food from room service in 'piles' by the elevator which was never removed. Basically the front desk admitted that NONE of the airconditioning units in the entire hotel worked - and then a representative took me into about 8 other rooms which proved this. Clearly they want to say that they having air conditioning - but on the other hand they want to lower their expenses by offering non working airconditing! Which of course is dishonest to the paying guests. In the summer bacteria and mold grow in the carpets in the poorly ventilated humid atmosphere of the warm moist rooms. The lobby is attractive and is an entirely unrepresentative example of what's in store at this hideous hotel. NOT RECOMMENDED!!!!!	
Sep 18 2004	Go to a highway Motel and save your money!	We stayed at the Le Cantile Suites from August 24-29 2004. Two adults and two children (both under 10 years). FIRST IMPRESSIONSFirst of all, DONT be persuaded by the nice pictures of the suites. When you acutally see them you'll realize they're just an old, dirty room with a wall and french door thrown in between. In fact, I wouldn't be surprised if this building was once a boarding home or a halfway house. The pint size refrigerator was dirty and obviouly had not been cleaned in a while. Finally, the bathtub had an obvious soap scum ring around it.HOUSEKEEPINGAs is typical with many hotels there was only enough towels/washcloths for two in the room. We called and asked for more because we had 4 in the room. After about 10 minutes a maintenance person came up to the room with one (1) hand towel in his hand. This experience was to be repeated for just about every day that we stayed there. We also noticed that every time we entered the suite we started sneezing, or sniffling and this would continue until we left the building in the morning to have breakfast.On the day we departed, my wife checked the room carefully to make sure that nothing was left behind. When she looked under the beds we found old toys, dirty socks, used tissues, and everything else that was left behind from past guests, so much for keeping house. FRONT DESK STAFFFront desk staff seem responsive when you speak to them, but don't count on anything actually being done! They did provide me with good directions around the city.HOTEL RESTAURANTDidn't use it as it was little more than the sitting area around a bar, and stopped serving at about 11:00 AM. Lots of nice restaurant in the area, and after the incidents with housekeeping and the dirty bathroom and refrigerator, we didn't really want to eat in the hotel anyhow.WOULD I RECOMMENDNo. Go to the &quot;Sofitel&quot; across the street, or find a motel and at least get what you pay for; but whatever you do read TripAdvisor BEFORE you book.	
Sep 2 2004	Great service good price	My wife and I spent 5 nites at LeCantlie. Room was spacious with the most closets we have ever seen in a hotel room. Service was excellent, especially at the front desk. Contrary to previous reviewers, the windows were spackling clean! Only drawbacks were that the bathroom was tiny and the continental breakfast, although compatible to other hotels in the area, was pricey. We definitely would return to this hotel!	
Aug 9 2004	Great locationgood value.	I stayed at the Cantlie in the first week of August 2004 on an overnight business trip. My friends had recommended this hotel to me and they were right in their assessment. It is essentially a 3 star hotel in a great location with excellent rates. It is really best suited for budget minded tourists rather than for the business traveller or romantic weekends. For the latter I would recommend the Sofitel or The Vogue.	
Aug 6 2004	Good experience	The location was perfect for us. Close to everything. Short walk to the Metro Peel; Rue Saint Catherine, Cresent, all the streets around, the Musee Des Beaux Arts, restaurants, and a coffee shop where my husband and I sat outside in the morning to start the day. The staff was attentive and even when the lobby was full, never was put off by our questions for directions and such. The hotel is nice, older and our room had a balcony, not for the faint at heart, overlooking Sherbrooke on the 26th floor. We had the executive suite because we had our 17 year old son with us. I wanted the bedroom for privacy but the curtains on the french doors separating them were sheers. Had to change clothes in the bathroom. The bathroom is small but clean. Carpet could have been cleaner. Beds clean but not comfortable. When sofa was pulled out, very little space to get in and out of the bedroom. We felt cramped but managed. Fine for 2 people. Plenty of closet space. Laundry room on 27th floor was convenient but isolated. Pool on rooftop was older but adequate.	
Jul 23 2004	Enjoyed Our Stay	Spent 2 nights. Friendly helpful staff. Fairly spacious room done in a neutral color palette. We had a walk-in kitchen with stove/ full sized refrigerator- basic kitchen necessities were provided- no microwave. If you have a preference for kitchen type, they may be able to accomodate. Hotel is reasonably priced for the location and is convenient for shopping, sight-seeing, and dining. We would go back.	
Jun 23 2004	Good value on a package deal good location	I booked the Cantlie via an air/hotel deal from Travelocity. I was very satisfied with the choice. The rooms are very large and quiet. There was a small kitchenette in the room which was a nice touch. We could keep snacks and drinks handy. My only minor fault was the decor of the room -- the carpet was a deep purple color and the wallpaper was lavender. But great views of the park from the giant windows made up for the design in our 21st floor room. The hotel has a small pool on the roof (28th floor) which had nice views. There are only three elevators servicing all 28 floors so occasionally there were waits. Not too irritatating though. The location was near the subways and close to shopping. Montreal is not a very huge, spread-out city so getting around was easy and convenient.Overall, the Le Cantlie was &quot;tre bien.&quot;	
Jan 16 2004	Nice inexpensive hotel		
Jan 5 2004	Gestapo at the front desk		
Dec 23 2003	Cantlie ignorance		
Oct 17 2003	Choose another hotel.		
Aug 30 2003	Would not recommend le Cantlie Suites		
Aug 18 2003	Mixed Emotions over Le Cantlie Suites		
Jun 5 2003	A great place to stay		
May 11 2003	NOT UP TO PAR		
Mar 19 2003	Wonderful hotel		
Oct 7 2002	Le Cantlie Suites...stayed twice		
Nov 23 2009 	J'y retournerais		
Nov 22 2009 	Les apparences sont trompeuses		
Nov 16 2009 	?????????		
Nov 8 2009 	Un 4 étoiles... pour le hall d'entrée!		
Sep 21 2009 	Hotel agréable dans le centre-ville		
Feb 15 2009	Mes remerciements au management du Cantlie Suites		
Nov 17 2008 	Hotel parfait		
Sep 23 2008 	Super hotel		
Jun 25 2008 	Buon soggiorno		
Mar 31 2008 	Excellente situation - Bon prix - Hotel a rafraichir		
Oct 30 2006 	Un hotel terrible		
