	Better than expected	I stayed here on a Priceline rate and had good experience. First off, they put me on the 32nd floor with one of the best views of Montreal I've had. (Those of us who are Priceline regulars usually expect something on a low floor with a view of the parking lot.)Second, the bed was fantastic.Third, you are right on top of the Metro.Yes, the room was dated and the lobby seems a bit fuddy-duddy if you're under 40. But overall, I would not mind staying here again.	
Jul 4 2005	Great Place!!	Just came back from the Marriott for July Canada Day Long Weekend ... Have stayed at various Marriotts around the world, and at many other hotels including Fairmont, Westin, Four Seasons, Intercontinental, &amp; Meridien.Had a room with 2 double beds facing the river on the 25th floor. The rooms are quite nice, but not that large in size. It's almost your typical Marriott room design and looks, except for the nicer large windows and vanity area by the washroom. Closet doors made the area a bit cramped, but not a big deal to me anyways. I believe the suites just upstairs from us are much larger in size, but also much more expensive. I personally like a cozy comfortable feel.There is more of a boutique atmosphere to this hotel - doesn't seem too much like a &quot;chain&quot; when you're in it, which is an especially nice feeling since you're in a city like Montreal.Service was great - front desk is helpful, and the lobby is excellent. The metro is right downstairs. Don't need to cab it anywhere as everything is pretty much walking distance (Ste. Catherine Street, Restaurants, Nightclubs, etc..). Bring your own drinks &amp; alcohol, as the hotel ones can get pricey (as anywhere pretty much).I would recommend the swedish massage in the spa (ask for Tatiyana) - decent priced and very very relaxing.Wireless Internet is free and fast, but you must get a modem from the front desk ($250 deposit).All in all, good weekend stay.	
Jun 25 2005	It was very good.	We just came back from our first (but not last) trip to Montreal. The service was very good, starting with the bell captain to the concierge.The location of the hotel is superb.	
May 31 2005	Great Downtown Location good quality hotel	My wife and I just came back from a trip to Montreal. I spent several days trying to decide where to stay and finally booked Marriott Chateau Champlain, total price for 4 nights $645. In my opinion, it is expensive for this type of hotel.HOTEL PLUS: nice clean room but a bit small for the price, great downtown location, nice view from hotel, direct access to Subway station (cost is $2.50 per person one way), access to underground shopping areas and restaurants, and to many nearby buildings, friendly and knowledgeable staff. Amenities include room service, very nice pool and hot tub, good size gym. Spa, hair salon are also on the premises and offer services at a reasonable price. HOTEL MINUS: nothing is included in the price of the room. Mattress is very hard... Hotel restaurant is very expensive, expect to pay around $20 for breakfast, and about $30+ for dinner per person. Instead, 5 minute walk will take you to underground shopping/restaurant areas where you can get your breakfast for less than $7 per person. Self parking is $14 per day. Valet parking is $21 per day. If you plan on driving around town, make sure to use valet parking since you'd have to pay $14 to self park every single time you exit the parking garage. I also noticed other parking areas near the hotel that charge between $7 and $10 per day. Note that subway (metro as they call it in Montreal) will take you virtually to any destination.All in all, if you are looking for a great location hotel with nice amenities and don't mind few extra expenses, Marriott is a good choice. For more information visit their website. I've also included some pictures we took.	
May 24 2005	Not a suitable hotel for families travelling with children	We stayed there with our 3 children. The rooms are not suitable for more than 4 people as they are very small and crowded with large furniture. The placement of a crib for our 1 year old made things worse as it blocked the exit from the room and the entrance to the bathroom, everytime we needed to move the crib had to come with us. It was very uncomfortable and made it impossible for us to have a decent night sleep. Another non-child friendly issue was that the shallow area of the pool is 1.5 meters (4.9') deep basically for children that can swim only, there was a hot tub but no one under the age of 10 was allowed to use it. It is unfortunate that the reservation staff (made directly with the hotel) did not notify us of these issues upfront. Supposedly there are suites available in the hotel, which we asked to be upgraded too when we saw our room (we would have been happy to pay difference and this was made clear to the management) but as per the front desk, nothing was available. They provided us with free breakfast for the two days instead. I would recommend this hotel to those travelling on business or as couples only.	
Mar 18 2005	Very nicebut some updadates would be nice	Very nice staff.Room on the smoking concirge floor was a little dated and worn(case goods should be replaced,bathrooms remodeled)but very comfortable and had a great view of the mountain and the surrounding downtown area.Concierge lounge is open on weekends and has 3 services of food,breakfast,afternoon snacks,and deserts.All were very nice.Great location adjacent to the the underground city and the Metro.I would stay here again if the price is right.	
Jan 16 2005	Typical Marriott	I travel 100k+ miles per year in North America on business, and end up staying mostly at Marriott- or Hilton-affiliated properties.The Marriott Chateau Champlain stay was a typical Marriott: consistent, pleasant, and mostly unremarkable. The check-in staff was fast, efficient, and proficient.The room I stayed was on a high floor. It was basic uninteresting, non-offensive Marriott room. It was showing it's age a little, the dressing area with it's shaggy carpeting and mismatched mirror light bulbs was a bit 1979 in appearance, but everything was clean. The steam iron was not functioning properly, but got the job done.The rooms all had free WiFi internet access, a great departure from the typical full-service Marriotts in the US where web access in rooms is wired-only and expensive.Breakfast staff was almost overbearingly attentive in a formal sort of way, but pleasant. Unlike most US full-service Marriotts, their breakfast buffet didn't have made-to-order omeletts, but was otherwise a typical Marriott buffet.Location is convenient for most business travelers.I must say my previous stay in Montreal was far more interesting, I stayed in Old Montreal at Auberge Bonaparte, a small hotel with way more personality. This time I chose Marriott, as I had no time on this trip to enjoy the area, hotel was just a place to work and sleep for a few hours. Next time I'm back with more leisure time, I'm choosing Auberge Bonaparte again.	
Dec 20 2004	Front Door Yuk	It would have been four stars except for the front door do not work all weekend.Swimming and fitness area access was weird had to go through a massage rmt section to get to poolI did have a massage there very good therapists however working space very cramped.Parking is about 22.00 canadain a day for valet.I recommand this parking for people who have never driven in montreal and the parking lot is huge.Also with the directions given I got lost have not been to montreal in 20 years I leave it up to old age ask hotel for directions they could not help.Swimming pool hot tub and fitness area very nice best I seen in my travels.	
Oct 12 2004	A good stay	Everything was excellent. The only problem was that there were no blackout drapes on the windows.I had trouble sleeping as a result.	
Sep 10 2004	Very nice views!	This hotel has a great location--2 blocks from the lively nightspots on St. Catherine St. and walking distance to Old Montreal. The windows were really cool. We had a corner room on the 23d floor, which was nice and quiet, and which had a spectacular view of the city. The only concern I had was that the park in front of the hotel seemed awfully dark and a little shady at night.	
Aug 30 2004	Great Hotel!	Stayed at the Marriott after one week of readingreviews on this website. Pleased with my choice.Hotel is situated downtown but not on the busySte. Catherine St / Cresent St. area. Only 2 blocks up from St. Catherine. Hotel was clean, spacious lobby area. Stores and gift shop on lobby level.Also elevator in lobby to take you to the Metro train. Room was nice, I had a basic room, requested a fridge for drinks (room has a mini bar but I didn't use it). Bed comfy, unfortunately I didn't quite get the view I wanted, all rooms facing say &quot;downtown&quot; were taken. Parking on premises,we valet parked each time (no add'l charge), parking is $18 (CAD) but you can go in and out. One day we arrived in the late afternoon and there were no more spaces (SUV's are parked in the front), we were asked to use a parking garage down the street which was $15 (CAD), no in and out privilege! I refused that, parked in the street and paid for 1 hr parking, it's free after 6 pm and itwas a Saturday, free parking on Sundays. That was the only bad experience.I would stay here again but maybe try a hotel nearer to St. Catherine (at night didn't want to walk 2 blocks with children). However some of these other hotels are on the main streets and there is no parking on the premises. Also Ste Catherine at night is NOT kid friendly (peep shows, etc. on the strip), many bars/pubs etc.Overall, this hotel was perfect!	
Aug 18 2004	Stands out from the pack of big hotels	I've stayed many times at the Montreal Hilton Bonaventure and the Le Centre Sheraton on business trips because that's where my company has contracted special room rates. This time, those were full due to conventions so I stayed at the Marriot Chateau Champlain in a regular non-smoking one-bed room. All 3 hotels are priced about the same, more or less depending on promotions &amp; vacancy. All 3 hotels are connected to the metro and underground shopping, and within several blocks of each other. The Sheraton is furthest from the old town and on the outside edge of the financial center. The Hilton is on top of the railway station, closest to the old town. The Chateau is a 15 minute walk to the old town, but across from a small park frequented by quality, free musical performances during the good weather months when office workers congregate for lunch outside. For my purposes, I prefer the Chateau Champlain first, then the Sheraton, and the Hilton last. Of course for more money you can probably get better, like the Intercontinental or Queen Elizabeth (large hotels) or especially the Hotel Gault (boutique hotel).The Sheraton is your typical, big boring business hotel with a massive convention feel to it, efficient but uninspiring. It is the furthest away from the old town. It has the smallest rooms, 18x12 for 216 square feet. The Chateau Champlain standard rooms are 24x14 for 336 square feet. The Chateau Champlain used to belong to the upscale, CP/Fairmont Hotels group. If you want a Fairmont in Montreal, stay at the expensive Queen Elizabeth where royalty have stayed). The Champlain is now just a Marriot, it is not up to its former glory, but it was built superior to the Hilton and the Sheraton (which was built as a Holiday Inn then spruced up). The Chateau feels more personal. The lobby is inviting &amp; attractive. Hallways are bright, not long, and very attractive. By contrast, hallways at the Sheraton have some stained carpets, while hallways at the Hilton are extremely long with low-class, exposed concrete walls. But the Hilton does have that wonderful roof top oasis (no good unless you're there in fine weather though).Although the Chateau Champlain is very large, it has a bit of a &quot;boutique&quot; feel to it unlike the Sheraton or Hilton. You do not see convention rooms and hordes of men in suits hanging around the Champlain like at the other business hotels (although there are lavish convention rooms tucked away). Rooms are spacious for a downtown hotel. Every room has a glorious half-moon window, circular in shape and extending out from the room, giving your room some architectural interest lacking in the other chains' bland rooms. The building is 37 stories high and many rooms have views. Of course some views are better than others. Some have river views, some have mountain views, some have good views of towering downtown skyscrapers (like mine did), while others view the uninspiring downtown lowrises. Some rooms merely face into an office tower across the street, so check your preference when you make your reservation or arrive. My standard room was very clean and totally odor free. It was inviting, although there several small furniture scratches typical of hotel use (and marriots), but nothing to complain about. I had newer carpet, some have older tan carpet which I don't particularly like. The room was very bright (because of that moon window), and the bed was very comfortable. The room has a high speed internet connection and two phone line connections available. There is a very large desk area, large work chair, and 2 nice wing chairs. Housekeeping was effective and friendly. The wallpaper was good quality and in good shape, with a couple of small tears that had been repaired if you looked. However, ice machines are located only on alternate floors, so I had to walk up from the 22nd floor to the 23rd floor for ice. The room has a somewhat unique layout and is larger than it looks, because there is a separate dressing/wardrobe area private from the rest of the room. This is nice because one person can dress and wash privately from the other if (s)he rises earlier in the morning, or wants to undress in private. Parking is $18/day unlimited in/out, or $21 valet. The doorman helps everyone and wears a smile. There is a gym, massage service, hot tub and supervised pool open 6 am to 11 pm daily on second level. But no outdoor pool or garden like the Hilton - families may prefer it there in summer. The main floor restaurant is quite good and inviting. Guests can obtain their choice of 2 free english-language newsapapers daily in the lobby. There are 4 floors of executive/concierge rooms. There is a concierge person for everyone else in the lobby. Staff were efficient, helpful and fully bilingual.	
Aug 18 2004	Great hotel in perfect location	Had a great time in August 2004 at this hotel. The location is perfect- attached to the underground and metro system, blocks from old town and chinatown etc.The rooms were in good condition, with large windows and nice views. The staff was courteous and helpful.One problem- the parking garage- its under renovation and is really a mess. Its very confusing when you arrive and depart because they keep closing parts of the garage and the hotel runs out of spaces. I hope they fix this problem because it was the only negative aspect of staying at this hotel.	
Aug 9 2004	Relaxing getaway	I went to montreal for the weekend and stayed at the marriot. I think it was a very nice hotel. Good location. Nice staff. The restaurant for breakfast was fantastic. I even left a skirt on the back of the bathroom door when I left and they mailed it to me within a week. Whenever I visit montreal I will stay at this same hotel.	
Jul 14 2004	Good Hotel	I frequent Montreal regularly on business and was switching from Hotel to Hotel over the last year. Four months ago I found the Marriott and could not have been happier with the choice. Even during the strike they offered extra &quot;Marriott Reward&quot; points per night and a free breakfast, even with my corporate rate. Now, I rated it as avaerage when it comes to all Hotels but, as a chain Hotel, I would put it above the rest since it feels more like a Boutique Hotel yet at half the cost.Definitely worth a try folks	
Jul 5 2004	it is over...	I returned to this hotel this past weekend and was delighted to see the same faces that have served me in the past, before the lockout. It is unfortunate it took so long, however, it is now over, and yes I will definately return to this Marriott, it is a prime location, great view and close to everything.....except the casino :) Will be back in August	
Jun 23 2004	Nothing extra-ordinary	Our family of 2 adults n 2 kids stayed at the hotel on 15 June 04 for one night was on the 25th floor....room was typical Marriott...the service was ok...nice lobby...interiors...pool...although I found it small a size...kids loved it....the room serivice however was the one thing I was not at all impressed.No microwave in the room when I had requested....they wouldn't allow baby's milk to be heated...The staff was kind of rusty...little did I realise they were in a Lock-out Stirke for 4 long months.The location of the hotel is great....heart of Downtown.....did enjoy it...my expectations were high for a Marriott . 	
Mar 17 2004	Marriott Workers on the Line	Please be advised that the workers have been locked out of this hotel since February 2004. You will have no idea of this, unless you wonder why there are security guards standing in the lobby. I visit this hotel at least 5 or 6 times a year when I go to Montreal. I had no idea of this until the next morning when I went to walk up Peel street and I saw the workers who use to provide me room service or wait on me in the restaurant out there in the cold. I do not know the issues behind this lock out, but I just found it bothersome to travel all the way there and the hotel doesn't inform anyone that they are crossing a picket line. One thing I did find rather odd was when I checked in at around 845pm they sent us to a Concierge Lounge to wait for our room.......I have never experienced that before, having to wait to make sure your room is ready. One other thing to note is the breakfast in the restaurant is free, they are not charging for it. I would much rather pay the bill for breakfast to see the friendly staff back in there working again :(	
Feb 23 2004	An anniversary getaway to remember!		
Jan 15 2004	Couln't ask for more		
Jan 7 2004	Chateau Champlain was wonderful!		
Jan 4 2004	Built as a luxury hotel but now a Marriott		
Nov 12 2003	A good hotel		
Oct 22 2003	A wonderful place!		
Jul 30 2003	Great hotel		
Jul 14 2003	really nice		
Feb 25 2003	typical marriott which is fine		
May 31 2002	Decent		
Oct 7 2009 	Na ja		
Aug 14 2009 	Excelente ubicación		
Apr 26 2009 	super hotel !		
Sep 14 2008 	excellent		
Aug 18 2008	Marriott Chateau Champlain? ... una buona scelta !		
Sep 7 2007	Tout le confort souhaité!		
Sep 20 2006	un excellent etablissement !!!!!		
