	Pleasant comfortable but unspectacular lodgings	The Westin Chicago River North is a well-run chain establishment centrally located in downtown Chicago. Our room, with a view of the Chicago River, was by no means over-the-top luxurious, but it was well-designed and spacious, with good lighting and comfortable seating. A quiet room and the Westin &quot;Heavenly Bed&quot; made for excellent sleeping conditions for someone who often does not sleep well even in better hotels. Service in the hotel was polite and efficient.What keeps this hotel from receiving a top rating: (1) lack of any &quot;wow&quot; factor: the room, while comfortable, was also generic; (2) no free wi-fi; (3) the food we were served in the banquet rooms (for a wedding) was fairly indifferent in quality, even for banquet food. Still, if the price is right, this hotel can offer a very good deal.	
Apr 6 2004	Condescending Management	Booked on Priceline, called hotel direct day before arrival, and again day of arrival, to specify non-smoking room with 2 double beds. Trainee checking us in was PAINFULLY slow - told me what room she had selected, but by the time she actually punched it in the other clerk had given it away - that was last room with 2 beds. COndescending manager made big play of &quot;extending the courtesy&quot; to see what he could do, and said when you book on &quot;first available&quot; services you only get whatever is left, and any other customer who books through the hotel website will have first advantage over you. We got it straigtened out, but he was a prick.	
Mar 26 2004	Elegantly Chic	Stayed here last week of March for one evening. The lobby is very chic and modern. Check-in was quick, very helpful, and welcoming. Being a Preferred Guest member, I recieved a corner room on the southwest portion of the building with a nice view of the Chicago River and the many buildings along Wacker Drive (can even see the top of Sears Tower). Indeed, the other rooms would probably not have the same views as the hotel is cornered by taller structures. However, the views are rather secondary to the amenities of the rooms. From, the heavenly bed to the heavenly showers, one is in for a treat of comfort and relaxation. The room is large and very clean, with marbles in the bathroom a pleasant addition. I would definitely stay here again. It's an elegantly chic 4 star hotel. 	
Mar 21 2004	Not that great	This particular Westin is neither well-managed nor spacious. The rooms are small, the bathroom is nothing special, and since the restaurant is under construction, there is no place to eat in the hotel. Generally, I book a room on the telephone, but this time I booked on the Westin website which promptly charged my credit card for three nights rather than my requested two nights. The manager was less than helpful and refused to refund the extra night. Are all Westins this poorly managed? Avoid this Westin if at all possible. There are many other better hotels in Chicago.	
Mar 13 2004	Great except for the Breakfast	Stayed in Jan 04. Former member of a Japanese hotel chain, which is still visible throughout the hotel. Big rooms with in-room LAN. Great bed. Breakfast is expensive and disappointing. Friendly staff.	
Feb 18 2004	Rough Start but a Wonderful Ending	We stayed here for Valentine's Day. We booked the room through Hotwire, and we called the hotel directly to place requests. When we called the hotel staff promised we would have several requests, but specifically a king sized bed. When we called on Valentine's Day to confirm our reservations they informed us that since we had booked with Hotwire our requests were not going to be honored since they had sold the king size rooms to full price paying customers. In fact they were quite rude. The general manager returned our call two days later and he is mailing us a certificate for a king room, with all our requests, at the price we payed on Hotwire. He was apologetic and professional. Despite this inconvenience our experience at the actual hotel was wonderful. Everyone was friendly and responsible. Our two full bed room was clean and comfortable. The bar in the hotel is right off of the check-in. It has comfortable, clean, and modern couch-like seating. The drinks are reasonable, and it was a great place to people whatch. I would recommend this hotel.	
Nov 3 2003	GREAT BEDS!!		
Sep 24 2003	Best night's sleep in town!		
Aug 17 2003	Breakaway Offer		
Jul 8 2003	Amazing Heavenly Beds!		
Jul 3 2003	My new home in Chicago!!		
Jul 2 2003	Not bad at all		
May 28 2003	A break from the wind		
May 12 2003	Awesome experience!!		
Jan 5 2003	a classy joint		
Oct 30 2002	Very nice But?????		
Jun 7 2009 	???????????????		
