	GOOD PLACE	It is a very comfortable hotel to enjoy your trips in a very good location	
Sep 7 2004	nice and clean	We stayed at the Chicago Hilton Garden Inn over the Labor Day weekend and were delighted. It is very clean, not tired and worn out, but seems bright and new. The one special thing I liked was a top sheet on top of the blanket. I very much appreciated not having to touch that blanket. It also had all of the amenities e.g. microwave, refrigerator, hair dryer, computer connections, etc. The room was not especially large, but we spent relatively little time in the room - only to sleep. We would definitely stay here again.	
Aug 27 2004 	Two Thumbs Up... WAY Up!	We can’t wait to return to Chicago and this hotel. A nice hotel in a great location. Clean and comfortable. Starbucks coffee available in the lobby. Awesome shopping all around and a wonderful restaurant downstairs and numerous restaurants nearby. The hotel amenities are great and the staff are all very friendly and helpful. An overall GREAT value. We definitely recommend it!	
Aug 6 2004	My choice for Chicago	Some friends and I went to Chicago last month. We knew we wanted to be near Michigan Avenue, so we chose the Hilton Garden Inn. A bargain at $109 a night, whereas most of the other hotels we saw were much more expensive. It turned out to be great. The room is nothing fancy, but certainly nice and it was very clean (microwave in room is a nice extra). However, the drawing card is the location. It can't be beat. Within walking distance are many shops, restaurants, pubs, a blues bar, and a piano bar. We were all very pleased with our choice and I would recommend it to anyone who wants a great place to stay without breaking the bank.	
Jul 16 2004	very nice hotel	I stayed in this hotel for 4 days in the first week of July. The hotel is very well located, 5 minutes and you are on the magnificent mile. The rooms are neat, clean, nicely furnished. The front desk staff is really nice and helpful. Hotel is surrounded by restaurants, malls.... There is a supermarket in front of the hotel and you can buy all you need. There is a fridge in the room and a microwave, always helpful. I tried their restaurant Webber Grill and it was really good food, their black and blue burger is awesome... Starbucks is open in the lobby... great for morning coffee on the go...I will definitely stay there next time I am in Chicago.	
Jun 27 2004	great place to stay in chicago	this hilton gardens was the place to stay. at 99.00 a night through hilton.com this was the best deal by far. excellent location to everything. michigan ave. was just a few blocks and the red line was just outside the door which made it very easy to get to wrigley field. resturants galore were so easy to get to. the staff was GREAT. starbucks in the lobby was nice but only open in the morning. never made it to &quot;Webers&quot; for any meals but it did smell wonderful. the biggest complant were the sheets, they were way to small for the bed and always had to tuck them back under the mattress during the night. valet was 34.00 with in and out privileges or you can park across the street for 21.00 but with NO privileges. if you come with your kids make sure you check out the &quot;Espn zone&quot; great things to keep a kid happy and yes, great food also.	
Jun 8 2004	Wonderful stay	My wife, 12 year old son, and I stayed here May 28through June 1. The valets/bellmen at the frontdoor greeted us pleasantly as we walked up.(took the subway from the airport). Receptionwas friendly and efficient. Room was spaciousand very clean. Microwave and fridge were veryhandy since there is a great supermarket acrossthe street that is open til midnight. Starbucks1/2 block away. Nice workout room w/ smallpool. Free high-speed internet worked great.Approx. a 3-block walk over to Michigan Ave.where all the high-end stores reside. Easybus and/or subway ride to everything. We caughtBlue Man Group after a short subway ride.Loved the fresh flowers in the lobby. Highlyrecommended, especially for the price.	
May 12 2004	Great Hotel value for location service and ammenities		
Apr 13 2004	Satisfied...definitely staying here next time too		
Mar 25 2004	Great location concierge service lacking but makes up for it		
Feb 27 2004	Nice little hotel.		
Feb 23 2004	Excellent suites		
Feb 16 2004	Great Deal 		
