	Wonderful	I had a sore throat and the hotel brought to my room a carafe and a microwave to make tea. WONDEFUL.	
Nov 24 2004	Very Nice Very English	We travelled to Chicago from Mass. with our 15 month-old son for a wedding. We selected the Talbott Hotel because they had a great web-rate, really good reviews, and seemed like a small yet high-service hotel. All turned out to be accurate. We called prior to the trip and requested an early check-in which was no problem for the hotel. We arrived at 12pm and were ushered to our 1 bedroom suite, with sitting room, after being greeted by Everyone in the lobby! The suite was comfortable, well-decorated, and QUIET. The bathroom was huge and beautiful. The enitre STAFF - from concierge to housekeeping - IS INCREDIBLE! They are so helpful and friendly! The room-service menu is very limited but we had breakfast in the restaurant and it was fresh and delicious, as well as being served while we relaxed on sofas and comfy chairs! At any rate, there are so many great restaurants and services available within blocks of the hotel that it seems a minor detail. We were able, for instance, to go up a block to the Walgreens for formula and diapers, over 3 blocks for pancakes, and down 2 blocks for shopping and dinner. The Doormen are super-valuable sources of information in terms of where to go/ what to see/ how to get there, etc. They really know their town and are wonderful people. We had a GREAT visit and were really happy with our selection of the Talbott Hotel!	
Nov 24 2004 	very nice definitely recommended	Actually, I would give this hotel four and a half dots--borderline five dots. I would definitely recommend the Talbott if you like simple elegance from a bygone era where everyone greeted you and there was a sense of (dare I say it?) community.I stayed at the Talbott for four nights in Nov 2004. I have stayed in Chicago many times but always in the Loop. This was the first time I stayed in the Gold Coast area. The Talbott is very charming. It was an old apartment building and as such, there are only about 8 or so rooms per floor. There are only two elevators serving 16 floors, but the maximum wait time in the lobby was only a couple of minutes. The lobby is slipt into two sections, both of which are very small, but nice. Everything is warm and the cozy and warm and the staff is very friendly. Even the other guests are cordial and smiling (for the most part), so it's really quite a pleasant change from the big corporate hotels. The Talbott is so close to everything, including the CTA red line stations, and you can easily walk to the Water Tower, Mag Mile, Grant Park, and the Loop. I had no idea it would be so convenient in this regard. It is right behind the 900 North Michigan shops, but it is all tucked away quite nicely on a quiet tree-lined street. I was given a room on the top floor and it was very spacious and comfortable. The view is nice but not breathtaking. I had a problem with one of the curtains but it was fixed very promptly. One of the desk chairs in the room was also very loose and wobbly, but overall it was no big deal. I would have liked to have seen a sofa rather than two arm chairs, but the room was more than adequate. The bathroom amenities are also quite nice. A couple of things to keep in mind:There is a lot of nightlife in the area and there are a lot of noises coming from the street, particularly along N. Rush St. well into the wee hours on weekends. If you are a light sleeper this could be a problem. Part of the problem is the A/C is wall mounted and there is basically a hole in the wall that the street sounds can travel through. The heater/radiator is also quite old but concealed under a cover. It makes an odd pinging sound now and again but never bothered me enough to be a problem.If you like to sleep in complete darkness you will love it here. When all the blinds were drawn closed the room was pitch black. You will sleep until 12 noon and it will still be pitch black! So set your alarm because your body clock/circadian rhythm will be off and you will not be woken up by the sun!I think it's kind of silly to have a key for the mini bar since the housekeeping staff can open it anyway, and honestly who is going to come in and steal a can of juice?Checking in and checking out were both a breeze.So, to sum up: the Talbott is a simple, comfortable hotel that draws its inspiration from old style American charm where people care about where they are staying. That's the impression I got anyway. There are no gimmicks or flashy extras. The staff is great and the place is definitely worth a look. I did not have a chance to visit the bar or the restaurant so I cannot comment, but they seem to be very popular. As for me I would definitely stay there again.	
Nov 23 2004	Excellent room and guest services	The hotel is lovely and you can't have a more central location in the city. The staff exceeded my expectations in providing everything I would need to have a comfortable stay. Will highly recommend to friends and colleagues	
Oct 24 2004 	Great hotel very well located	Stayed there during 7 nights last september.Great little hotel with very large room. The rooms are a bit dusty though.Service is good and people are helpful.Loved the free wireless internet.Location is fantastic just behind watertower and next to the &quot;restaurant district&quot;.I would have expeceted a gesture for staying 7 nights but did not get any special treatment.Good value for money.	
Oct 11 2004 	great little hotel	My husband and I just returned from 4 days/3nights at the Talbott Hotel in Chicago. I booked it based on reviews in Trip Advisor and was not one bit disappointed. The location is perfect, on a quiet little street 2 blocks from Michigan Ave. Service was impeccable, from the front desk staff to the concierge to the bellmen and housekeeping. Everyone was pleasant and efficient and seemed to genuinely want their guests to enjoy their stay. We requested non-smoking and had a good sized, spotless room with 2 comfortable chairs for relaxing and a beautiful bathroom(with robes &amp; lighted makeup mirror). The view sucked (we overlooked a parking lot), but that was a minor flaw considering the other amenities. A small fridge(instead of the &quot;honor bar&quot;) would have been appreciated also. We took advantage of the health club passes, another great feature of staying at the Talbott. The club was close and very nice with towels and lockers provided. We enjoyed walking around the neighborhood and being so close to everything else we wanted to do. While we were waiting for our shuttle back to the airport we killed some time in the bar, Basil's, which was pricey but very comfortable with a sidewalk cafe. All in all, I was impressed with the Talbott &amp; would definitely stay there again.	
Sep 1 2004	My Favorite Hotel	I love The Talbott Hotel! Here is proof that big city lodging can merge with personal attention and pride in excellence. The Talbott is perfectly located in the center of all the Magnificent Mile wonderland, but just a few blocks off the noisy Michigan Ave.. ...this tucked-away spot makes this a peaceful haven. The doormen are attentive, the concierges knowledgable and accessible, the front desk folks friendly and professional. The rooms are modern/updated, clean as a whistle, quiet and comfortable. Rates are extremely reasonable, and the online reservation rate is frequently downright scary...it's so low! But fear not...the hotel is terrific.I don't think the restaurant is as great as the hotel, but good eats are around every corner. I highly recommend The Talbott Hotel. And I'm not the only one....the long list of rave reviews on TripAdvisor tells the true tale.	
Aug 29 2004	interesting find	What can I say about this place. It is the best deal in downtown chicago. It is two blocks from Michigan Ave. It is on a quiet little street to get away from the hussle and bussle. The hotel and staff are first class. It is a small hotel that is top notch. It is usually quite a bit cheaper than most of the hotels in it's quality range. Definitely give this place a try if you want a first class hotel for your stay in downtown chicago.	
Jul 31 2004	Like a small European Hotel	From check in time to check out time my husband 2 daughters, and myself felt welcomed and treated brilliantly. The door people were the loveliest and Kevin the bartender was great. We can't say enough about Gene the Concierge who organised babysitting and a lovely dinner and jazz listening. The room was perfect for 4 and the Aveda products awesome. We'll be back!	
Jul 30 2004	Great Home in the Heart of the City	If you are looking for an intimate, upscale home in the heart of Chicago, you can't go wrong at the Talbott. The hotel staff is both friendly and helpful. The rooms and suites are well appointed, comfortable and well-kept. You get complimentary use of a world-class fitness center a few blocks away. Best of all, the value is extraordinary. My wife and travel for business all the time. We are so tired of cookie-cutter accommodations. Both of us loved the Talbott and we think you will too!	
Jul 23 2004	Loved it !!!!!!!!!	This hotel is wonderful ! The location and price are the greatest. Two things to watch, the rooms have window unit air conditioners and ours worked the opposite way, we had to call maintenance and they informed us of what to do also, we found later the shower controls were backwards as well ! Maybe, we just had a backwards room !!!!!!! The staff was fantastic and catered to our every need. They do not have ice machines on every floor so you have to call room service for a bucket of ice but this truly was not a problem. Stay here ! It is great !	
Jul 7 2004	Great experience	I have stayed at the Talbott three times and found each stay very comfortable and very affordable! The staff is friendly and accomodating. It definately has a European flavor. A great location and a great place to relax!	
Jul 5 2004	nice but not perfect	The Talbott is nice hotel in a nice location, the only problem that I had was that I was given a smoking room. I am a doctor who gets asthma and have had two family members die of lung cancer, so I have a pretty visceral reaction to smoke. I can't stand the smell of it. When I called to change my room they stated that it was on the reservation, which I find pretty hard to believe. I was told that there wouldn't be a room available until the next day. Then the next day I left my bags packed and left the room as soon as I could, only to return to the same smoking room!Otherwise the hotel is nice, in a european way. good location. The parking is expensive ($36 a day,) but that is probably because of the location.	
Jun 20 2004	An AMAZING and economical find!	The Talbott was fabulous. It was cozy and elegant. It made my husband and I feel like we were rich guests with our own concierge. They treat you like royalty. The rooms were gorgeous and the staff was SO kind. Gene is wonderful if you can get him. Stay there and be impressed. It made for a romantic weekend!	
Jun 17 2004	Taken care of at the Talbott	The Talbott was perfect! We were greeted by Jason, a kind an very helpful employee who instantly accomidated our every need and more. The concierge staff was endlessly helpful an cheery, along with the bellhops. Our suite (601)was amazing with all the amenities, we loved the giant and luxiurious bathroom the most! The location was perfect, walking distance from lots of fun things and the building was beautiful. We reccomend this hotel to anyone looking to enjoy a care-free and relaxed environment during their stay in Chicago, these people know how to run a hotel!	
Jun 8 2004	Nice stay but not as good as the previous reviews	While we liked the hotel and the location, we had some trouble upon checking in. We had requested a room with a king bed, but were told there were no more, so were given a room with 2 queen beds. When we went to the room, it looked like someone had been staying there and the room hadn't been cleaned. We called down to the front desk, and were told the hotel was full so they would send up housekeeping to clean the room while we waited. We called again to ask about getting a new room, and no one called back, so we then went back to the front desk. After about 15 minutes, we were given a new room with a king size bed! The room was nice, but a little damp and dark. Other than that, and low water pressure in the shower, our stay there was great.	
Apr 25 2004	It was great!	The Talbott was great. The room was big and in excellent condition. The staff was extremely helpful and friendly. The location was super (a block west of Bloomingdales).	
Feb 4 2004	Romantic Weekend		
Dec 15 2003	Hidden Gem		
Aug 14 2003	3 great days in Chicago		
Aug 13 2003	Another wonderful review		
Jul 29 2003	Big fan of the Talbott		
Jul 26 2003	A Great find		
Jul 2 2003	Truly a gem of a hotel		
Jan 13 2003	Great Get-Away		
Aug 31 2002	We loved The Talbott		
Jun 10 2002	A Little Gem		
