	Great Hotel Good Location Great Value	I took my girlfriend to Chicago as a surprise anniversary present the weekend before Thanksgiving. I am unfamiliar with Chicago, but knew I wanted to stay near the museum and Millenium Park. On a value travel website, I found a rate for Hotel Blake less than half their advertised rate and I was sold. Reviews said it was 3-4 stars, but I really wasn't sure what to expect.When we showed up, I was pleasantly surprised. It's in a good neighborhood, and only a few minutes walk from Michigan avenue. We checked in very late, but the desk staff was courteous and helpful, though we did have to unpack and carry our bags ourselves. Valet-parking was available from the hotel, but half price parking is available literally just down the street from the hotel. When we made it to our room on the 9th floor, I was amazed at the room. Large room, magnificent bed, good decorations, huge bathroom. There was no train or traffic noise on the 9th story, and we both got excellent sleep on the comfortable mattress. Free wifi, excellent soap, shampoo, body wash, etc... even a sewing kit. The room definitely deserved four stars, my only minor quibble was a little mold in the shower stall of an otherwise impeccable bathroom. We never really tried the TV, but the room clock connected to my ipod, which I thought was neat.The free breakfast was great and unexpected, but I recommend getting there early as they ran out of donuts and danishes well before the posted closing time. Service was uniformly cordial and helpful, recommending good restaurants and nearby attractions. (awesome, but get there early). The pictures of Chicago posted on the Hotel Blake website were not representative of the actual view from the hotel, but google maps let me know what to expect in the vicinity. Overall, I heartily recommend the Hotel Blake and will probably stay there again if I can get the same rate.	
Dec 29 2004	Very Disappointed	I think I expected some kind of kitchy boutique hotel. No. Just an old hotel. I think a lot of people will like this property. But it wasn't for me.	
Nov 16 2004	Hotel going through major changes and FYI NOT closing	They hyatt on Printers row is going through some major renovations. It has been sold, but will still be available for hotel stay. Rooms have begun to be upgraded. Only hotel in chicago area to have not 1 but 2 plasma tv screens in the rooms. It will no longer be managed by hyatt come the first of the year. People making comments about prairie style and 80's black laquer dont know what they are talking about and that is the conversion of the new renovations . I find it funny that one user complained about the coffee then mentioned a starbucks across the street..FYI Prairie restaurant (in the hyatt) serves only starbucks coffee.. so see you cant believe everything you read or hear... i found my stay very injoyable, the staff very happy and the food to be great!	
Nov 6 2004	Sadly deteriorated: AVOID	This had been one of my favorite Chcago hotels for years. The location is excellent (South Loop, most points of interest are a short walk, including The Art Institute, Grant Park, and the financial district), and the spacious rooms were kept immaculately clean. It had a nice restaurant, comfortable furniture, and an attentive staff. Unfortunately, much has changed for the worse. Apparently the hotel's days as a Hyatt are numbered, and the building is in the midst of a conversion to Condominiums.I'll start with the one remaining positive: the staff remain friendly, efficient, and in-the-know; just what you'd expect from any Hyatt.The room itself was quite dirty: stains on the carpet, mildew in the shower, broken lampshades on fixtures burning cold flourescent bulbs. The windows needed cleaning, and the wallpaper in the bathroom was stained. Got a room change with no problem, second room was no better. Most of the furniture had been removed from the rooms: no writing desk, couch or loveseat, or even a comfortable easy chair. Both rooms had a glass table with two plain, unpadded chairs. This was the ONLY furniture in either room besides the TV cabinet and beds.The formerly classy restaurant &quot;Prarie&quot; had also gone way downhill. Coffee was yucky, and the suasage and bacon tasted like cleaning products. Room service did not respond at 10:30 PM. There's a Starbucks accross the street though, and a suoerb juice bar/ brunch place called &quot;orange&quot; a block away.It's a shame when a good hotel goes bad, but Chicago has many fine options. I suggest avoiding this Hyatt in (what must be) it's final months of operation.	
Aug 21 2004	Perfect place..........	After reading previous reviews of this place, I figured I had to put my two cents in. This is a perfect hotel unless you're looking for luxury. Yeah, the carpets are a little worn, there is a little bit of construction going on, BUT it's in a perfect location and I was able to get it on priceline for 55 bucks.I did stay in the new building (per previous reviews) which was a very nice room. There was also free cable internet and a fitness room. They have since improved the fitness room since previous reviews. There are 3 flat screen TV's, a few cardio machines and a Bowflex type of machine with a few free weights.If you're looking to stay at a place like the Drake, then stay there, but if you'd like to spend your money on something other than where you lay your head down at night and throw your dirty clothes on the floor, then STAY here!!!Hope this helps.......	
Jul 5 2004	Not for everyone--and pretty soon not for anyone		
Jun 9 2004	A decent place in the heart of Chicago		
May 15 2004	No amenities great location		
May 3 2004 	Spacious Rooms Good Location		
Apr 21 2004	Not a bad hotel at all		
Apr 12 2004	Clean Comfortable Stay		
Mar 30 2004	A Charming Place in the Heart of Chicago		
Dec 15 2003	Don't touch that phone!		
Nov 26 2003	Only if you're desperate		
Aug 12 2003	Comfy Quiet and Convenient		
Oct 6 2009 	nel Loop eleganza e comfort		
Sep 25 2009 	Ottimo albergo sia per cordialità che per comodità!		
Aug 16 2009 	breakfast al polistirolo		
